⌚	zegarek	godzina|zegarek
🕢	godzina 7:30	30|7|7:30|czas|dziewiętnasta trzydzieści|godzina|siódma trzydzieści|zegar
🕣	godzina 8:30	30|8|8:30|czas|dwudziesta trzydzieści|godzina|ósma trzydzieści|zegar
🕤	godzina 9:30	30|9|9:30|czas|dwudziesta pierwsza trzydzieści|dziewiąta trzydzieści|godzina|zegar
🕥	godzina 10:30	10|10:30|30|czas|dwudziesta druga trzydzieści|dziesiąta trzydzieści|godzina|zegar
🕦	godzina 11:30	11|11:30|30|czas|dwudziesta trzecia trzydzieści|godzina|jedenasta trzydzieści|zegar
🕧	godzina 12:30	12|12:30|30|czas|dwunasta trzydzieści|godzina|zegar|zero trzydzieści
🕺	tańczący mężczyzna	impreza|mężczyzna|tancerz|tańczący|tańczyć|taniec|zabawa|zawód
🖕	środkowy palec	gest|palec|ręka|środkowy palec|wulgarny gest
🖖	salut wolkański	dłoń|palce|pozdrowienie|ręka|salut|V|wolkan|wolkański|wolkańskie|żyj długo i pomyślnie
🖤	czarne serce	czarne serce|czarny|kocham|miłość|serce|zło
🗻	góra Fudżi	Fudżi|góra|natura
🗼	Tokyo Tower	tokio|tokyo|Tokyo Tower|wieża
🗽	Statua Wolności	Stany Zjednoczone|statua|USA|wolności
🗾	mapa Japonii	japonia|mapa|mapa Japonii
🗿	moai	głowa|moai|posąg|twarz|wyspa wielkanocna
😀	szeroko uśmiechnięta twarz	haha|hehe|roześmiana buźka|śmiech|szeroko uśmiechnięta twarz|uśmiech
😁	szeroko uśmiechnięta twarz o roześmianych oczach	buźka|haha|hehe|śmiech|szeroko uśmiechnięta twarz o roześmianych oczach|uśmiech|wyszczerzone|zęby
😂	twarz ze łzami radości	absurd|buźka|haha|hehe|lol|łza|łzy|łzy radości|płacz|śmiech|śmieszne|twarz ze łzami radości|wesoły
😃	uśmiechnięta twarz z otwartymi ustami	buźka|haha|hehe|radosny|śmiech|szczęśliwy|uśmiech|uśmiechnięta twarz z otwartymi ustami|wesoły
😄	uśmiechnięta twarz z otwartymi ustami i roześmianymi oczami	buźka|haha|hehe|śmiech|uśmiech|uśmiechnięta twarz z otwartymi ustami i roześmianymi oczami|wesoły|zadowolenia
😅	uśmiechnięta twarz z otwartymi ustami, oblana zimnym potem	buźka|gafa|haha|hehe|kropla potu|oblana zimnym potem|pot|śmiech|uśmiech|uśmiechnięta twarz z otwartymi ustami|uśmiechnięta twarz z otwartymi ustami, oblana zimnym potem|wesoły|zawstydzony
😆	uśmiechnięta twarz z przymrużonymi oczami	buźka|haha|hahaha|hehe|lol|rozbawienie|satysfakcja|śmiech|uśmiech|uśmiechnięta twarz z przymrużonymi oczami|wesoły
😇	uśmiechnięta twarz z aureolą	buźka|haha|hehe|nic nie zrobiłem|niewinny|niewinny uśmiech|śmiech|świętoszek|uśmiechnięta twarz z aureolą|wesoły
😈	uśmiechnięta twarz z rogami	buźka|diabełek|fantasy|rogi|różki|uśmiechnięta twarz z rogami|wesoły|złośliwy
😉	twarz puszczająca oko	buźka|mrugnięcie|oczko|puszczać oko|puszczenie oka|twarz puszczająca oko|zaczepka
😊	uśmiechnięta twarz o roześmianych oczach	buźka|haha|hehe|przyjazny|serdeczny|śmiech|uśmiech|uśmiechnięta twarz o roześmianych oczach
😋	twarz delektująca się pysznym jedzeniem	buźka|jedzenie|mniam|oblizywać się|smaczne|twarz delektująca się pysznym jedzeniem|uśmiech
😌	twarz z wyrazem ulgi	błogość|buźka|odprężenie|odprężona buźka|twarz z wyrazem ulgi|uf|ulga|uśmiech
😍	uśmiechnięta twarz z oczami w kształcie serca	buźka|kocham|miłość|serca|uśmiech|uśmiechnięta twarz z oczami w kształcie serca|zachwyt|zakochany
😎	uśmiechnięta twarz w okularach przeciwsłonecznych	buźka|cool|haha|hehe|lato|luzak|na luzie|okulary|szpaner|uśmiech|uśmiechnięta twarz w okularach przeciwsłonecznych|zadowolony
😏	twarz z uśmieszkiem	buźka|cyniczny|haha|hehe|półuśmieszek|twarz z uśmieszkiem|uśmieszek
😐	neutralna twarz	buźka|buźka bez wyrazu|hm|neutralna twarz|nic|nie mam zdania|nie obchodzi mnie|wtf
😑	twarz bez wyrazu	brak emocji|buźka|nic|nie|nie mam zdania|nie obchodzi mnie|twarz bez wyrazu|wtf
😒	niezadowolona twarz	nah|nie|niezadowolenie|niezadowolona buźka|niezadowolona twarz|obrzydzenie|smutek|wtf
😓	twarz ze spuszczonymi oczami oblana potem	beznadziejny|buźka|kropla potu|nerwy|pot|spocony|twarz ze spuszczonymi oczami oblana potem|zimny pot
😔	zamyślona twarz	buźka|smutek|zamyślenie|zamyślona buźka|zamyślona twarz
😕	zdezorientowana twarz	buźka|smutek|zakłopotana buźka|zakłopotanie|zastanowienie|zdezorientowana twarz
😖	zakłopotana twarz	buźka|irytacja|zakłopotana twarz|zirytowana buźka|złość|zły
😗	całująca twarz	buzi|buźka|całująca twarz|całus|pocałunek|ślę całusa
😘	twarz przesyłająca całusa	buzi|buźka|całuję|całus|kocham|miłość|serce|ślę całusa|twarz przesyłająca całusa
😙	całująca twarz o roześmianych oczach	buzi|buźka|całująca twarz o roześmianych oczach|całus|pocałunek|ślę całusa
😚	całująca twarz z zamkniętymi oczami	buzi|buźka|całująca twarz z zamkniętymi oczami|całus|rumieniec|ślę całusa
😛	twarz wystawiająca język	buźka|buźka pokazująca język|język|pokazany język|pokazywać język|twarz wystawiająca język|uśmiech
😜	twarz wystawiająca język i puszczająca oko	buźka|haha|hehe|język|mrugnięcie|pokazuję język|śmiech|twarz wystawiająca język i puszczająca oko|żart
😝	twarz ze zmrużonymi oczami wystawiająca język	ble|buźka|haha|hehe|język|niesmaczne|okropne|pokazywać język|smak|twarz ze zmrużonymi oczami wystawiająca język|zamknięte oczy
😞	rozczarowana twarz	buźka|przykro mi|rozczarowana buźka|rozczarowana twarz|rozczarowanie|smutek
😟	zmartwiona twarz	buźka|martwić się|ojej|smutek|zmartwienie|zmartwiona buźka|zmartwiona twarz
😠	zagniewana twarz	buźka|gniew|rozgniewana buźka|zagniewana twarz|złość
😡	nadąsana twarz	buźka|czerwony|dąsy|nadąsana twarz|twarz|wściekłość|złość
😢	płacząca twarz	buźka|buźka ze łzą w oku|łezka|płacz|płacząca twarz|przykro mi|smutek
😣	uparta twarz	ból|buźka|napięcie|skupienie|uparta twarz|upór|zacięta twarz
😤	prychająca twarz	buźka|furia|prychająca twarz|smutek|smutny|sukces|triumf|twarz|twarz z parą wylatującą z nosa|wygrana|złość|zły
😥	smutna twarz z wyrazem ulgi	buźka|łza|płacz|smutek|smutna twarz z wyrazem ulgi|smutna ulga
😦	zachmurzona twarz z otwartymi ustami	buźka|co?|nie wierzę|opadła mi szczęka|opadła szczena|rozzłoszczona buźka|zachmurzona twarz z otwartymi ustami|zawód|zdziwienie
😧	udręczona twarz	ból|buźka|niedowierzanie|udręczona twarz|zawód|zdziwienie|złość
😨	przestraszona twarz	buźka|przestraszona twarz|strach|wystraszona buźka
😩	znużona twarz	buźka|cierpienie|rezygnacja|zmęczenie|zmęczona buźka|znużona twarz
😪	senna twarz	buźka|sen|senna twarz|senność|spać|śpiąca buźka
😫	zmęczona twarz	buźka|kichać|nie|płacz|rozpacz|smutek|smutny|ziewanie|zmęczenie|zmęczona buźka|zmęczona twarz
😬	twarz z grymasem	buźka|grymas|grymaśna buźka|twarz z grymasem|wyszczerz|zęby
😭	głośno płacząca twarz	buźka|głośno płacząca twarz|głośny płacz|łzy|płacz|smutny|zapłakana buźka|zapłakany
😮	twarz z otwartymi ustami	buźka|o|och|szok|twarz z otwartymi ustami|zaskoczenie|zaskoczona buźka
😮‍💨	twarz wypuszczająca powietrze	buźka|dym|gwizd|twarz wypuszczająca powietrze|ulga|westchnienie|wydech|wydmuchiwać powietrze|wykończony|wypuszczać powietrze|zmęczenie
😯	zdumiona twarz	buźka|o|zaskoczenie|zaskoczona buźka|zdumienie|zdumiona twarz|zdziwienie
😰	zaniepokojona twarz oblana potem	buźka|nerwy|oj|pot|strach|zaniepokojona twarz oblana potem|zmęczenie|zziajana buźka|zziajanie
😱	twarz krzycząca ze strachu	buźka|głowa|krzycząca buźka|krzyk|och|przestrach|strach|twarz krzycząca ze strachu
😲	zadziwiona twarz	buźka|och!|zadziwiona twarz|zaskoczenie|zaskoczona buźka|zdziwienie
😳	twarz z rumieńcami	buźka|rumieńce|twarz z rumieńcami|twarz z wypiekami|wow|wstyd|wypieki|zaskoczenie|zdziwienie
😴	śpiąca twarz	buźka|chrapanie|dobranoc|drzemka|noc|nuda|sen|spać|spanie|śpiąca twarz|śpiący|twarz|ziew|zmęczenie|zzz
😵	oszołomiona twarz	buźka|chory|knock out|nokaut|oszołomiona twarz|oszołomiony|zawrót głowy
😵‍💫	twarz ze spiralnymi oczami	buźka|konsternacja|mętlik|niedobrze mi|spirale|szok|twarz ze spiralnymi oczami|wow|zahipnotyzowana twarz|zawroty głowy
😶	twarz bez ust	buźka|buźka bez ust|cisza|nic nie mówię|oczy|twarz bez ust
😷	twarz w masce medycznej	buźka|choroba|lekarz|maska|operacja|pielęgniarka|twarz|twarz w masce medycznej
😸	uśmiechnięty kot o wesołych oczach	głowa|haha|hehe|kot|oczy|roześmiany|uśmiech|uśmiechnięty kot o wesołych oczach|wesoły|zadowolony|zwierzę
😹	kot ze łzami radości	głowa|haha|hehe|kot|kot ze łzami radości|płaczę ze śmiechu|płakać|śmiech|uśmiech|zęby|zwierzę
😺	uśmiechnięty kot	głowa|haha|hehe|kot|uśmiech|uśmiechnięty kot|uśmiechnięty kot z otwartym pyszczkiem|wesoły|zęby|zwierzę
😻	uśmiechnięty kot z oczami w kształcie serca	buźka|głowa|kocham|kot|miłość|oczy|serca|uśmiechnięty kot z oczami w kształcie serca|zakochany|zwierzę
😼	kot z drwiącym uśmiechem	głowa|ironia|ironiczny|kot|kot z drwiącym uśmiechem|kpiarski|kpina|zwierzę
😽	kot przesyłający całusa	buzi|buziak|całuję|całus|całuski|głowa|kot|kot przesyłający całusa|rumieniec|zwierzę
😾	nadąsany kot	głowa|grymas|kot|nadąsany kot|obrażony|zły|zwierzę
😿	płaczący kot	buźka|głowa|kot|łza|płaczący kot|płaczę|smutek|smutny|zwierzę
🙀	przestraszony kot	głowa|kot|przestrach|przestraszony|w szoku|zaskoczony|zdumiony|zszokowany|zwierzę
🙁	lekko zachmurzona twarz	buźka|ech|grymas|lekko zachmurzona twarz|meh|niezadowolenie|niezadowolony|smutek|smutny
🙂	lekko uśmiechnięta twarz	buźka|haha|hehe|lekko uśmiechnięta twarz|miły|śmiech|uśmiech|wesoły
🙃	odwrócona twarz	buźka|do góry nogami|haha|hehe|odwrócona twarz|śmiech|uśmiech|wesoły
🙄	twarz przewracająca oczami	buźka|irytacja|obojętność|oczy|pff|przewracam oczami|twarz przewracająca oczami|wszystko jedno|zniecierpliwienie|znudzenie
🙅	osoba pokazująca gest NIE	kobieta|nic z tego|nie|nie ma mowy|nie wolno|osoba|osoba pokazująca gest NIE|skrzyżowane ręce|sprzeciw|zakaz
🙆	osoba pokazująca gest OK	entuzjazm|kobieta|ojej|ojej!|ok|OK|osoba|osoba pokazująca gest OK|podskok do góry|ręce|ręce w górze|zachwyt
🙇	osoba w ukłonie	gest|osoba|osoba w ukłonie|przepraszam|skrucha|ukłon|wybacz|żal
🙈	małpa zasłaniająca oczy	gest|małpa|małpa zasłaniająca oczy|małpka|nie|nie widzę|nie widzieć|niedobre|zabronione|zakrywam oczy|zwierzę
🙉	małpa zasłaniająca uszy	buźka|gest|głowa|głuchy|małpa|małpa zasłaniająca uszy|małpka|nie|nie słyszę|nie słyszeć|niedobre|zabronione|zakrywam uszy|zwierzę
🙊	małpa zasłaniająca pyszczek	buźka|co ja mówię|gest|głowa|małpa|małpa zasłaniająca pyszczek|małpka|nie|nie mówić|nie mówię|niedobre|zabronione|zakrywam usta|zwierzę
🙋	osoba podnosząca rękę	gest|halo|hej|osoba|osoba podnosząca rękę|powitanie|pozdrowienie|ręka do góry|witaj|zgłaszać się|zgłaszająca się
🙌	wzniesione ręce	dłonie|hura|hurra|ręce|super|wzniesione
🙍	zachmurzona osoba	niepokój|osoba|przygnębienie|smutek|smutna|smutny|urażona|urażony|zachmurzona|zachmurzony|zmartwienie|zmartwiona|zmartwiony
🙎	nadąsana osoba	buźka|foch|głowa|gniewać się|kapryśna|kobieta|mina|naburmuszać się|nadąsana osoba|niezadowolona|obrażona|osoba
🙏	złożone ręce	dziękuję|modlitwa|prosić|ręka|złożone ręce
🚀	rakieta	kosmiczny|kosmos|pojazd|rakieta|statek
🚁	helikopter	helikopter|pojazd|śmigłowiec
🚂	lokomotywa	ciuchcia|kolej|lokomotywa|pociąg|podróż|pojazd|stara lokomotywa
🚃	wagon kolejowy	elektryczny|kolejowy|pociąg|pojazd|szynowy|tramwaj|wagon
🚄	szybki pociąg	kolej|pendolino|pociąg|pojazd|shinkansen|szybki|szynowy
🚅	szybki pociąg z zaokrąglonym przodem	kolej|pendolino|pociąg|pojazd|shinkansen|szybki|szynowy
🚆	pociąg	kolej|pociąg|podróż|pojazd
🚇	metro	kolejka|metro|pociąg|pojazd|tunel
🚈	kolej miejska	kolej|kolejka|metro|miejska|pociąg|podmiejska|podmiejski|pojazd
🚉	stacja	dworzec|kolej|kolejowa|pociąg|podróż|pojazd|stacja
🚊	tramwaj	pociąg|pojazd|szynowy|tramwaj|trolejbus
🚋	wagon tramwajowy	pojazd|szynowy|tramwaj|tramwajowy|trolejbus|wagon
🚌	autobus	autobus|autokar|pojazd
🚍	nadjeżdżający autobus	autobus|nadjeżdżać|nadjeżdżający|pojazd|przód|samochód
🚎	trolejbus	autobus|elektryczny|pojazd|trolejbus
🚏	przystanek autobusowy	przystanek|przystanek autobusowy
🚐	minibus	auto|bus|busik|minibus|pojazd|samochód
🚑	karetka pogotowia	ambulans|auto|erka|karetka|karetka pogotowia|pogotowie|pojazd|samochód
🚒	samochód strażacki	auto|pojazd|pożar|samochód|samochód strażacki|straż pożarna|wóz strażacki
🚓	samochód policyjny	auto|patrol|pojazd|policja|radiowóz|samochód policyjny
🚔	nadjeżdżający radiowóz	auto|nadjeżdżający radiowóz|patrol|pojazd|policja|radiowóz|samochód|samochód policyjny
🚕	taksówka	auto|pojazd|samochód|taksówka|taryfa|taxi|żółta|żółty
🚖	nadjeżdżająca taksówka	auto|nadjeżdżać|nadjeżdżająca|pojazd|samochód|taksówka|taryfa|taxi|żółta|żółty
🚗	samochód	auto|pojazd|samochód
🚘	nadjeżdżający samochód	auto|nadjeżdżające auto|nadjeżdżający pojazd|nadjeżdżający samochód|pojazd|samochód
🚙	samochód SUV	auto|pojazd|samochód|sport|SUV|wypoczynkowy
🚚	samochód dostawczy	auto|ciężarówka|dostawa|dostawczy|pojazd|samochód
🚛	samochód ciężarowy	auto|ciężarówka|dostawczy|pojazd|samochód|samochód ciężarowy|tir
🚜	ciągnik	ciągnik|pojazd|rolniczy|rolnik|traktor
🚝	kolej jednoszynowa	jednoszynowa|kolej|pojazd|szynowy
🚞	kolej górska	górska|górski|góry|kolej|kolejka|pojazd|wagon
🚟	kolej podwieszana	kolej|pociąg|podwieszana|pojazd
🚠	górska kolej linowa	gondola|gondolowa|górska|góry|kolej|kolejka|linowa|podwieszana|wagonik|wyciąg
🚡	kolej linowa	gondola|gondolowa|kolej|kolejka|linowa|podwieszana|wagonik
🚢	statek	łódka|łódź|pasażerski|statek
🚣	osoba wiosłująca w łodzi	łódka|łódź|osoba|w łodzi|wiosłowanie|wiosłująca|zawody
🚤	ścigacz wodny	łódka|łódź|motorówka|ścigacz|wodny
🚥	pozioma sygnalizacja uliczna	drogowe|pozioma|światła|świetlna|sygnalizacja|uliczna
🚦	pionowa sygnalizacja uliczna	drogowe|pionowa|światła|świetlna|sygnalizacja|uliczna
🚧	prace drogowe	bariera|prace drogowe|znak drogowy
🚨	kogut policyjny	kogut|lampa obrotowa|policja|policyjny|sygnalizator świetlny
🚩	flaga trójkątna	chorągiewka|czerwona flaga|flaga|flaga trójkątna|słupek|trójkątna chorągiewka
🚪	drzwi	drzwi
🚫	zakaz	brak przejścia|wejście|zabronione|zakaz|znak
🚬	papieros	dla palących|dym|dymek|palacz|palić|papieros
🚭	zakaz palenia	nie wolno|palenie|palenie wzbronione|papieros|zabronione|zakaz|zakaz palenia
🚮	znak kosza na śmieci	kosz|nie śmiecić|śmieci|śmiecić|znak kosza na śmieci
🚯	zakaz śmiecenia	nie śmiecić|nie wolno|nie wyrzucać|śmieci|zabronione|zakaz|zakaz śmiecenia
🚰	woda pitna	kran|pić|pitna|szklanka|woda
🚱	woda niezdatna do picia	nie pić|nie wolno|niezdatna|woda|woda niezdatna do picia|zabronione|zakaz
🚲	rower	pojazd|rower|rowerek
🚳	zakaz wjazdu rowerów	nie wolno|pojazd|rower|zabroniony|zakaz|zakaz wjazdu rowerów
🚴	osoba na rowerze	kolarka|kolarz|na rowerze|osoba|rower|rowerzysta|rowerzystka|sport|wyścig
🚵	osoba na rowerze górskim	górska|górski|kolarka|kolarz|na rowerze górskim|osoba|rower|rowerzysta|rowerzystka|sport|wyścig
🚶	idąca osoba	chodzenie|idąca|iść|na piechotę|osoba|piechur|pieszo|spacer
🚷	zakaz ruchu pieszych	nie wolno|pieszy|przejście wzbronione|zabronione|zakaz|zakaz dla pieszych|zakaz ruchu pieszych
🚸	dzieci przechodzące przez jezdnię	dla dzieci|dla pieszych|dzieci|dziecko|przechodzące|przejście|przez jezdnię|uwaga
🚹	toaleta męska	dla mężczyzn|męska|męski|szalet|toaleta|ubikacja|ustęp|WC
🚺	toaleta damska	damska|damski|dla kobiet|szalet|toaleta|ubikacja|ustęp|WC
🚻	toalety	łazienka|szalet|toaleta|toalety|ubikacja|WC
🚼	symbol niemowlęcia	dziecko|niemowlę|niemowlęcia|przewijak|symbol|znak
🚽	muszla klozetowa	dolnopłuk|muszla klozetowa|sedes|toaleta|ubikacja
🚾	WC	szalet|toaleta|ubikacja|ustęp|WC
🚿	prysznic	łazienka|prysznic|woda
🛀	osoba biorąca kąpiel	biorąca kąpiel|kąpiel|osoba|w wannie|wanna
🛁	wanna	kąpiel|wanna
🛂	kontrola paszportowa	granica|graniczna|kontrola|kontrola paszportowa|paszport
🛃	kontrola celna	celna|komora celna|kontrola|lotnisko
🛄	odbiór bagażu	bagaż|bagażu|lotnisko|odbiór
🛅	przechowalnia bagażu	bagaż|bagażu|kluczyk|pozostawiony|przechowalnia|skrytka|walizka|zamknięcie
🛌	osoba w łóżku	dobranoc|drzemka|hotel|łóżko|nocleg|nocowanie|osoba|pensjonat|posłanie|sen|spać|w łóżku|zzz
🛐	miejsce kultu	kaplica|kościół|kult|miejsce kultu|modlitwa|religia|świątynia
🛑	znak stopu	stop|znak|znak drogowy|znak stopu
🛒	wózek sklepowy	koszyk|sklep|wózek|wózek sklepowy|zakupy
🛕	świątynia hinduistyczna	hinduizm|świątynia|świątynia hinduistyczna
🛖	chata	chata|chatka|dom|domek|jurta|okrągły|przytulny|schronienie|strzecha
🛗	winda	dostępność|dźwig osobowy|podnośnik|winda|wyciąg pionowy
🛘	osuwisko	góra|katastrofa|lawina|lawina błotna|niebezpieczeństwo|skały|trzęsienie ziemi
🛜	bezprzewodowy	bezprzewodowe|bezprzewodowy|hotspot|internet|komputer|łączność|router|sieć|szerokopasmowe|wi-fi|wifi|wlan
🛝	zjeżdżalnia	park rozrywki|plac zabaw|ślizgawka|wesołe miasteczko|zabawa|zjeżdżalnia
🛞	koło pojazdu	koło|koło pojazdu|kręcić|opona|samochód
🛟	koło ratunkowe	bezpieczeństwo|koło ratunkowe|pływak|pływanie|ratunek
🛫	odlot samolotu	odlot|odprawa|podróż|pojazd|samolot|samolotu|start|wylot
🛬	przylot samolotu	lądowanie|podróż|pojazd|przylot|samolot|samolotu
🛴	hulajnoga	hulajnoga|pojazd
🛵	skuter	motor|pojazd|skuter
🛶	kajak	biwak|jezioro|kajak|łódka|łódź|wakacje
🛷	sanie	sanie|sanki|śnieg|sport|zabawa|zima
🛸	latający talerz	fantastyka|kosmici|kosmita|latający|sci-fi|sf|spodek|talerz|ufo
🛹	deskorolka	deska|deskorolka|kółka|skate|skateboard|skater
🛺	autoriksza	autoriksza|tuk-tuk
🛻	pick-up	auto|furgonetka|pick-up|pikap|półciężarówka|półtonówka|przewozić|samochód
🛼	wrotka	jazda na rolkach|łyżworolki|rolki|sport|wrotka|wrotkarstwo|wrotki
🟠	pomarańczowe koło	kółko|koło|pomarańczowe
🟡	żółte koło	kółko|koło|żółte
🟢	zielone koło	kółko|koło|zielone
🟣	fioletowe koło	fioletowe|kółko|koło
🟤	brązowe koło	brązowe|kółko|koło
🟥	czerwony kwadrat	czerwony|kwadrat|kwadratowy
🟦	niebieski kwadrat	kwadrat|kwadratowy|niebieski
🟧	pomarańczowy kwadrat	kwadrat|kwadratowy|pomarańczowy
🟨	żółty kwadrat	kwadrat|kwadratowy|żółty
🟩	zielony kwadrat	kwadrat|kwadratowy|zielony
🟪	fioletowy kwadrat	fioletowy|kwadrat|kwadratowy
🟫	brązowy kwadrat	brązowy|kwadrat|kwadratowy
🟰	gruby znak równości	gruby znak równości|matematyka|równa się|równość|znak równości
🤌	złączone palce	gest|oczekiwanie|palce|poczekać|przesłuchanie|sarkazm|szczypta|włochy|złączone palce
🤍	białe serce	białe|serce
🤎	brązowe serce	brązowe|serce
🤏	dłoń z gestem „trochę”	ciut|dłoń z gestem „trochę”|mała ilość|mało|palce|szczypta|trochę
🤐	twarz z zamkiem błyskawicznym na ustach	buzia na kłódkę|buźka|nic nie powiem|tajemnica|twarz z zamkiem błyskawicznym na ustach
🤑	twarz z pieniędzmi na ustach	bogaty|buźka|hajs|kasa|pieniądze|twarz|twarz z pieniędzmi na ustach
🤒	twarz z termometrem	buźka|choroba|gorączka|smutek|temperatura|termometr|twarz z termometrem
🤓	kujon	buźka|buźka w okularach|bystry|inteligent|kujon|mózgowiec|nerd|okulary|uśmiech|utalentowany
🤔	myśląca twarz	buźka|hm|hmm|myśląca twarz|myślę|zamyślony|zastanawiam się|zastanowienie
🤕	twarz z bandażem	bandaż|buźka|czoło|głowa|rana|skaleczenie|smutny|twarz z bandażem
🤖	głowa robota	głowa robota|monstrum|potwór|robot|twarz
🤗	twarz z gestem przytulania	buźka|przytulać|przytulanie|ręka|ściskam|twarz z gestem przytulania|uśmiech
🤘	gest rogów	dłoń|gest|heavy metal|mano cornuta|metal|ręka|rock|rock and roll|rocker|rogi|rogów|znak
🤙	dłoń w geście „Zadzwoń do mnie”	dłoń w geście Zadzwoń do mnie|dzwonić|essa|luz|ręka|telefonować|zadzwoń do mnie
🤚	wzniesiony grzbiet dłoni	cześć|powitanie|pozdrowienie|pożegnanie|stop|uniesiona dłoń|wzniesiony grzbiet dłoni
🤛	pięść skierowana w lewo	cios|pięść|pięść skierowana w lewo|uderzenie z prawej|żółwik
🤜	pięść skierowana w prawo	cios|pięść|pięść skierowana w prawo|uderzenie z lewej|żółwik
🤝	uścisk dłoni	cześć|dłonie|powitanie|ręce|ręka|spotkanie|tak|uścisk|uścisk dłoni|zgoda
🤞	skrzyżowane palce	kciuki|powodzenia|ręka|skrzyżowane palce|trzymać|trzymam kciuki
🤟	gest Kocham cię	dłoń|gest|kocham|miłość|miłości|palce|ręka|rogi|znak
🤠	głowa w kapeluszu kowbojskim	buźka|głowa w kapeluszu kowbojskim|haha|hehe|kapelusz|kowboj|kowbojka|wesoły
🤡	twarz klauna	buźka|cyrk|klown|twarz klauna
🤢	twarz z mdłościami	buźka|choroba|chory|mdłości|obrzydliwe|twarz z mdłościami|wymiotować|zielony
🤣	tarza się ze śmiechu	buźka|haha|hehe|kulać się|lol|łza|łzy|płakać|płakać ze śmiechu|śmiech|śmieszne|tarza się ze śmiechu|wesoły
🤤	śliniąca się twarz	buźka|cieknie mi ślinka|głodny|mniam|ślina|śliniąca się twarz|ślinka
🤥	twarz kłamcy	buźka|długi nos|kłamać|kłamca|pinokio|twarz kłamcy
🤦	osoba trzymająca się za czoło	facepalm|fejspalm|niedowierzanie|osoba trzymająca się za czoło|osoba zakrywająca twarz dłonią|tylko nie to|załamanie|załamka
🤧	kichająca twarz	buźka|choroba|chory|katar|kichać|kichająca twarz|kicham|na zdrowie|smarkanie
🤨	twarz z podniesioną brwią	brew|buźka|dziwne|głowa|hę|hmm|nie wierzę|sceptyczny|twarz|twarz z podniesioną brwią|zdziwiony|że co
🤩	zafascynowany	buźka|fascynacja|głowa|gwiazdy|haha|hehe|śmiech|szczęście|twarz|uśmiech|zabawa|zafascynowany
🤪	szalona twarz	buźka|crazy|duże|głowa|haha|hehe|małe|oko|oszaleć|śmiech|szał|szalona twarz|szalony|twarz
🤫	uciszająca twarz	buźka|cicho|cii|cisza|głowa|sza|twarz|uciszać|uciszająca twarz
🤬	twarz z symbolami na ustach	bluzgać|buźka|głowa|kląć|przekleństwo|przeklinać|twarz|twarz z symbolami na ustach|zły
🤭	twarz z ręką na ustach	buźka|chichotać|głowa|haha|hehe|hihi|śmiech|twarz|twarz z ręką na ustach|ups
🤮	wymiotująca twarz	ble|buźka|choroba|chory|fuj|głowa|obrzydliwe|rzygać|twarz|wymiotować|wymiotująca twarz|wymioty
🤯	eksplodująca głowa	buźka|eksplodująca głowa|eksplozja|głowa|nie wiedzieć|niemożliwe|szok|wybuch
🤰	kobieta w ciąży	ciąża|ciężarna|kobieta|w ciąży
🤱	karmienie piersią	dziecko|karmić|karmić piersią|karmienie piersią|kobieta|matka|miłość|niemowlę|pierś|praca
🤲	dłonie do góry razem	dawać|dłonie|dłonie do góry razem|modlić się|modlitwa|ręce|ręka
🤳	selfie	aparat|selfie|telefon|zdjęcie
🤴	książę	baśń|głowa|korona|król|książę|mężczyzna|monarcha|w koronie
🤵	osoba w smokingu	elegancja|głowa|osoba|ślub|smoking|w smokingu|wesele
🤶	żona św. Mikołaja	głowa|kobieta|mikołaj|mikołajowa|pani mikołajowa|święta|żona św. Mikołaja
🤷	osoba wzruszająca ramionami	bezradność|nie wiem|obojętność|osoba|osoba rozkładająca ręce|osoba wzruszająca ramionami|wątpliwość|wszystko jedno|wzruszenie ramion
🤸	osoba robiąca gwiazdę	akrobatyka|gimnastyczka|gimnastyk|gimnastyka|gwiazda|osoba|przerzut bokiem|robiąca gwiazdę|robić gwiazdę|sport
🤹	żonglująca osoba	cyrk|osoba|spryt|wielozadaniowość|zarządzanie|żongler|żonglerka|żonglowanie|żonglująca
🤺	osoba uprawiająca szermierkę	osoba uprawiająca szermierkę|sport|szermierka|szermierz|szpada|zawody
🤼	osoby uprawiające zapasy	na ringu|osoby|sport|uprawiające zapasy|walka|wrestlerki|wrestlerzy|wrestling|zapaśnicy|zapaśniczka|zapaśniczki|zapaśnik|zapasy
🤽	osoba grająca w piłkę wodną	grająca|osoba|piłka|piłkarka|piłkarz|sport|w piłkę wodną|woda|wodna|wodny
🤾	osoba grająca w piłkę ręczną	grająca|osoba|piłka|piłką|piłkarka|piłkarz|ręczna|ręczny|rzut|sport|szczypiorniak|szczypiornista|szczypiornistka|w piłkę ręczną
🤿	maska do nurkowania	akwalung|do nurkowania|maska|nurkowanie|snorkeling|snurkowanie|sport|z rurką
🥀	zwiędły kwiat	kwiat|płatki|roślina|róża|smutek|smutny|więdnąć|zwiędły
🥁	bęben	bęben|bębenek|grać|muzyka
🥂	stukające się kieliszki	alkohol|impreza|kieliszki|na zdrowie|nowy rok|przyjęcie|stukające się kieliszki|świętowanie|sylwester|toast
🥃	szklanka z grubym dnem	alkohol|drink|grube dno|impreza|szklanka|whiskey|whisky|z grubym dnem
🥄	łyżka	łyżeczka|łyżka|sztućce
🥅	bramka	bramka|gol|mecz|sport|zawody
