⌚	наручные часы	время|запястье|наручные|рука|часы
😶	лицо без рта	молчание|немой|нет|рыба|секрет|слов|тайна|тихо|тишина|тсс
😷	в медицинской маске	болеть|вирус|врач|заражение|карантин|маска|медик|микроб|простуда|санитар
😸	смеющийся кот	глаза|закрытые глаза|кот|кот с широкой улыбкой и закрытыми глазами|морда|смеющийся|улыбка|широкая улыбка
😹	смеющийся до слез кот	веселье|кот|кот смеется|кот смеется до слез|морда|радость|слезы счастья|смеющийся до слез кот|смеющийся кот|счастье
😺	улыбающийся кот	домашнее|животное|кот|милашка|питомец|полосатый|улыбка|усы|ушастик|хорошо
😻	влюбленный кот	влюбиться|влюбленный кот|кот|любовь|морда|сердечки|счастье|улыбка
😼	ухмыляющийся кот	кот|кот с ухмылкой|сарказм|улыбка|ухмылка|ухмыляющийся кот|хитрость|хитрый
😽	целующий кот	глаза|губы|кот|кот целует|морда|морды|поцелуй|целующий кот
😾	злой кот	злой|кот|морда|недовольный|раздраженный
😿	плачущий кот	грустно|жаль|кот|кот плачет|морда|печаль|плач|плачущий кот|слезы
🙀	кот в шоке	в шоке|кот|кот в шоке|кот волнуется|морда|морды|удивление|усталость
🙁	немного грустит	грустный|досада|недовольный|огорчен|печаль|плохо|разочарован|хмурый
🙂	слегка улыбается	легкая|лицо|радость|смайлик|улыбка
🙃	вверх тормашками	вверх|ногами|перевернутый|смайлик|тормашками|улыбка
🙄	закатывает глаза	блин|глаза|закатить|закончится|когда|надоело|омг|скука|скучно|тоска
🙅	человек против	возражаю|жест|запрет|нельзя|нет|отказ|против|хватит
🙆	человек за	вверх|домик|за|зарядка|окей|омг|отлично|руки|хорошо
🙇	человек кланяется	виноват|жаль|извини|пожалуйста|поклон|прости|прошу|прощения|стыд
🙈	ничего не вижу	глаза|запрещено|зрение|нельзя|ничего не вижу|обезьяна
🙉	ничего не слышу	запрещено|лапы|нельзя|ничего не слышу|обезьяна|слух|уши
🙊	ничего никому не скажу	закрыт|запрещено|лапы|молчание|ничего никому не скажу|обезьяна|рот
🙋	человек с поднятой рукой	вопрос|задать|знаю|ответить|поднять|руку|сказать|спросить|хочу
🙌	ура	вверх|жест|класс|отлично|победа|руки|ура
🙍	нахмурившийся человек	грустит|грусть|грущу|лицо|нахмурившийся человек|обида|печаль|расстроен|хмурый|человек
🙎	обиженный человек	губы|зла|зол|надоело|надуть|обижен|огорчен|раздражение|разочарование|расстроен
🙏	сложенные руки	молитва|пожалуйста|просьба|прошу|руки|сложенные|спасибо|умолять
🚀	ракета	быстро|взлет|космос|ракета|скорость
🚁	вертолет	вертолет|винт|воздух|лопасти|транспорт
🚂	паровоз	вагон|локомотив|паровоз|поезд
🚃	вагон	вагон|общественный|поезд|рельсы|трамвай|транспорт|фуникулер
🚄	скоростной поезд	дорога|железная|поезд|пуля|Синкансэн|скоростной поезд|скорость
🚅	поезд-пуля	поезд|поезд-пуля|пуля|Синкансэн|скорость
🚆	поезд	дорога|ж/д|железная дорога|поезд|транспорт
🚇	метро	метро|подземка|поезд|станция|тоннель|транспорт
🚈	легкий рельсовый транспорт	легкий рельсовый транспорт|метро|монорельс|трамвай|транспорт|электричка
🚉	железнодорожный вокзал	вокзал|ж/д вокзал|ж/д станция|железнодорожная станция|железнодорожный вокзал|рельсы|станция|электричка
🚊	трамвай	рельсы|трамвай|транспорт
🚋	трамвайный вагон	вагон|рельсы|трамвай|трамвайный вагон|электричество
🚌	автобус	автобус|маршрутка|мини автобус|общественный транспорт|транспорт|школьный автобус
🚍	автобус спереди	автобус|лобовое|общественный транспорт|приближающийся автобус|спереди|стекло|транспорт
🚎	троллейбус	дорога|общественный|провода|транспорт|троллейбус|электричество
🚏	автобусная остановка	автобус|автобусная остановка|знак|остановка
🚐	микроавтобус	автобус|бусик|газель|маршрутка|микроавтобус|поездка
🚑	машина скорой помощи	больница|врачи|машина|машина скорой помощи|помощь|скорая
🚒	пожарная машина	машина|огонь|пожар|пожарная|пожарные|спасатели
🚓	полицейская машина	машина|милиция|патруль|полицейская машина|полицейские|полиция
🚔	полицейская машина спереди	лобовое стекло|машина|полицейская машина|полицейская машина спереди|полицейские|полиция|приближающаяся полицейская машина|проблесковый маячок|сирена
🚕	такси	водитель|желтое такси|машина|такси|транспорт|убер|шашечки
🚖	такси спереди	машина|приближающееся такси|такси|такси спереди|транспорт
🚗	автомобиль	автомобиль|машина|транспорт
🚘	автомобиль спереди	автомобиль|автомобиль спереди|машина|машина спереди|приближающаяся машина|приближающийся автомобиль|транспорт
🚙	джип	SUV|автомобиль|джип|жилой|легковой|машина|отдых|фургон
🚚	грузовик	газель|груз|грузовик|грузовой|доставка|кузов|перевозки|транспорт
🚛	фура	газель|грузовик|кузов|перевозка|переезд|транспорт|фура
🚜	трактор	сельское|техника|трактор|транспорт|хозяйство
🚝	монорельс	легкое|метро|монорельс|рельсы|транспорт
🚞	поезд в горах	горы|дорога|железная|поезд|поезд в горах|рельсы|транспорт|электричка
🚟	подвесная железная дорога	вагон|дорога|железная|подвесная
🚠	вагон фуникулера	вагон|вагон фуникулера|горы|кабинка|подъем|подъемник|тросы|фуникулер
🚡	канатная дорога	дорога|канат|канатная дорога|подвесная дорога|подъемник|трамвай|тросы|фуникулер
🚢	корабль	груз|корабль|круиз|лайнер|морской|пароход|перевозки|судно|титаник
🚣	гребля	весла|вода|гребля|лодка|море
🚤	катер	вода|двигатель|катер|круиз|лодка|море|мотор|яхта
🚥	горизонтальный светофор	горизонтальный светофор|свет|светофор
🚦	вертикальный светофор	вертикальный светофор|перекресток|свет|светофор
🚧	строительные работы	барьер|заграждение|опасность|преграда|препятствие|строительные работы|строительство|стройка
🚨	мигалка	красная|мигалка|полиция|проблесковый маячок|сигнальные огни|сирена|экстренная ситуация
🚩	треугольный флаг	красный|треугольный|флаг|флажок
🚪	дверь	вход|входная|выход|двери|дверная ручка|дверь|закрытая|проем
🚫	запрещено	вход|входа|запрещено|зачеркнутый|красный|круг|нельзя|нет
🚬	сигарета	дым|курение|курить|курю|можно|окурок|пепел|разрешено|сигарета
🚭	курение запрещено	запрет|запрещено|красный|круг|курение|курить|не|нельзя|черный
🚮	бросайте мусор в урну	мусор|мусорить|мусорка|урна
🚯	не мусорьте	запрещено|красный|мусор|мусорить|нельзя|перечеркнутый|черный
🚰	питьевая вода	вода|кран|пить|питьевая
🚱	непитьевая вода	вода|вредно|запрещено|кран|круг|не|нельзя|непитьевая|опасно|перечеркнутый|пить
🚲	велосипед	велик|велосипед|колеса|крутить педали|педали|прокатиться|руль|спорт|транспорт
🚳	перечеркнутый велосипед	велосипед|въезд|въезда|запрещено|нельзя|нет|перечеркнутый
🚴	велосипедист	велосипед|велосипедист|велоспорт|кататься|педали|спорт|человек
🚵	человек на горном велосипеде	байк|велик|велосипед|горный|горы|педали|соревнование|спорт|человек
🚶	человек идет	гулять|дорога|идет|прогулка|тротуар|ходьба|человек
🚷	переход запрещен	входить|запрещен|круг|не|опасно|переход|пешеход|пешеходный
🚸	знак «дети»	движение|дети|дорога|знак "дети"|знак «дети»|переход|пешеход|пешеходы
🚹	мужской туалет	кабинки|мужской|мужчины|туалет|уборная
🚺	женский туалет	женский туалет|женщины|кабинки|туалет|уборная
🚻	уборная	WC|туалет|уборная
🚼	пеленальная	дети|младенцы|пеленальная|пеленки|стол
🚽	унитаз	бачок|смывать|туалет|унитаз
🚾	туалет	WC|общественный|туалет|уборная|унитаз
🚿	душ	вода|душ|мыться|принимать душ|струя воды|чистота
🛀	человек в ванне	ванна|ванная|вода|человек
🛁	ванна	ванна|ванная|вода|купаться|мыться|принимать ванную|чистота
🛂	паспортный контроль	контроль|паспортный|печать|пограничник|проверка
🛃	таможня	багаж|граница|проверка|таможенник|таможня
🛄	получение багажа	багаж|лента|получение|прибытие|чемодан
🛅	забытый багаж	багаж|замок|кабинка|камера|ключ|хранения|чемодан
🛌	человек в кровати	гостиница|кровать|ночь|отель|сон|спит|человек
🛐	религия	место|молитва|молиться|поклонение|религиозное|религия|святое|святыня
🛑	знак «стоп»	восьмиугольник|знак|знак «стоп»|красный знак|остановка|стоп
🛒	тележка для покупок	магазин|покупки|тележка|тележка для покупок
🛕	индуистский храм	ашрам|индийский|индуизм|храм|церковь
🛖	хижина	дом|хижина|юрта
🛗	лифт	грузоподъемник|лифт|подъемник|специальные возможности
🛘	оползень	землетрясение|камнепад|лавина|обвал|опасность|осыпь|сель
🛜	беспроводная сеть	wi-fi|wifi|wlan|беспроводная сеть|вайфай|интернет|компьютер|подключение|роутер|сеть|смартфон|точка доступа|широкополосный
🛝	детская горка	горка|детская|играть|игровая|кататься|парк|площадка|развлечений
🛞	автомобильное колесо	автомобильное колесо|диск|колесо|колпак|круг|поворот|шина
🛟	спасательный круг	безопасность|круг|надувной|помощь|спасательный круг|спасение
🛫	взлет	взлет|взлетаю|отправление|посадка|регистрация|самолет|улетать
🛬	посадка	посадка|прибытие|приземляется|садится|самолет
🛴	самокат	колеса|руль|самокат|транспорт
🛵	скутер	мопед|мотороллер|скутер|транспорт
🛶	каноэ	байдарка|весло|индейцы|каноэ|каяк|лодка
🛷	санки	гора|катание|сани|санки|снег|спуск
🛸	летающая тарелка	инопланетный гость|инопланетяне|летающая тарелка|марсианин|НЛО|пришелец|пришельцы|тарелка
🛹	скейтборд	доска|доска с колесиками|доска с роликами|колеса|роликовая доска|скейт|скейтборд|скейтер
🛺	авторикша	авторикша|мопед|моторикша|рикша|такси|транспорт|тук-тук|туктук
🛻	пикап	автомобиль|грузовик|машина|перевозка|пикап|транспорт
🛼	роликовые коньки	коньки|ролики|роликовые коньки|спорт
🟠	оранжевый круг	геометрия|круг|оранжевый|фигура|шар
🟡	желтый круг	геометрия|желтый|круг|фигура|шар
🟢	зеленый круг	геометрия|зеленый|круг|фигура|шар
🟣	фиолетовый круг	геометрия|круг|фигура|фиолетовый|шар
🟤	коричневый круг	геометрия|коричневый|круг|фигура|шар
🟥	красный квадрат	геометрия|квадрат|красный|прямоугольник|фигура
🟦	синий квадрат	геометрия|голубой|квадрат|синий|фигура
🟧	оранжевый квадрат	геометрия|квадрат|оранжевый|прямоугольник|фигура
🟨	желтый квадрат	геометрия|желтая|желтый|карточка|квадрат|предупреждение|фигура
🟩	зеленый квадрат	геометрия|зеленый|квадрат|фигура
🟪	фиолетовый квадрат	геометрия|квадрат|прямоугольник|фигура|фиолетовый
🟫	коричневый квадрат	геометрия|квадрат|коричневый|прямоугольник|фигура
🟰	жирный знак равенства	знак|математика|равенства|равенство|равно
🤌	щепоть	вопрос|жест|пальцы|рега|сарказм|щепотка|щепоть
🤍	белое сердце	белое|любовь|сердце|чувства|эмоции
🤎	коричневое сердце	коричневое|любовь|сердце|чувства|эмоции
🤏	жест «мало»	жест|мало|небольшое количество|немного|чуть-чуть
🤐	рот на замке	говори|замке|могила|молния|никому|рот|секрет|скажу|тайна
🤑	деньги в глазах	баксы|богатый|выиграть|деньги|джекпот|доллары|лотерея|мани|счастливчик|язык
🤒	с градусником во рту	болеть|больной|вирус|градусник|грипп|жар|плохо|простуда|температура
🤓	очкарик	ботан|заучка|интеллигент|очкарик|радость|улыбка|умник|эврика
🤔	думает	думаю|знаю|интересно|мозгами|озадачен|пораскинуть|размышлять|сложно|трудно|хм
🤕	с перевязанной головой	бинт|болеть|больной|гипс|перевязка|повязка|пострадал|ударился
🤖	робот	лицо|монстр|робот|страх
🤗	обнимает	встречи|обнимашки|объятия|пока|привет|радость|руки|румянец|увидимся|улыбка
🤘	рокерский жест	жест|коза|пальцы|рок|рокерский|рука|фанат
🤙	жест «позвони мне»	жест|набери|позвони|рука|серферский|шака
🤚	поднятая рука	ладонь|поднятая|сторона|тыльная
🤛	кулак влево	влево|кулак|рука
🤜	кулак вправо	вправо|кулак|рука
🤝	рукопожатие	встреча|договорились|руки|рукопожатие|согласие|соглашение
🤞	скрещенные пальцы	везение|жест|пальцы|скрестить|скрещенные|удача
🤟	я-тебя-люблю	жест|люблю|пальца|пальцы|рука|три
🤠	в ковбойской шляпе	веселый|вестерн|ковбой|радость|техас|улыбка|шапка|шляпа
🤡	клоун	арлекин|клоун|смех|смешно|улыбка|цирк|шут
🤢	тошнит	блевать|болезнь|выворачивать|вырвет|зеленый|морская|наизнанку|отравиться|плохо|тошнит
🤣	катается со смеху	глаза|катаюсь|плач|пол|ржака|ржач|слезы|умора|ха-ха|хохот
🤤	пускает слюни	лицо|пускает слюни|слюни
🤥	лжец	буратино|врать|врешь|лжец|лицо|ложь|обман|обманывать|пиноккио
🤦	человек потерял дар речи	надоело|нет|омг|позор|раздражение|слов|фейспалм|хватит
🤧	чихает	апчхи|лицо|насморк|пчхи|чихает
🤨	не верит	быть|верю|может|не|недоверие|подозрение|правда|скептик|сомневаюсь|хм
🤩	звезды в глазах	вау|глаза|звезда|звездный|звезды|обалдеть|радость|супер|улыбка|широкая
🤪	сумасшедшее лицо	крейзи|показать|псих|сдвиг|сошел|сумасшедший|ума|фазе|чокнуться|язык
🤫	тс-с-с	говори|закрой|никому|секрет|тайна|тихо|тсс|узнает|услышать|шепот
🤬	цензура	браниться|брань|мат|материться|ругань|ругаться|цензура
🤭	прикрывает рот рукой	лишнее|ляпнуть|посмеиваться|проговорился|секрет|смешок|сюрприз|тайна|упс|хи
🤮	рвота	блевать|болезнь|вырвало|гадость|морская|отравиться|плохо|рвота|тошнит|фу
🤯	взрыв мозга	быть|взрыв|голова|может|мозга|не|омг|шок
🤰	беременная женщина	беременная|беременность|женщина
🤱	кормление грудью	вскармливание|грудь|кормить|кормящая|лактация|мать|младенец|молоко|ребенок
🤲	ладони лодочкой	вверх|вместе|горсть|дуа|желание|ладони|лодочкой|молитва|молиться|руки
🤳	селфи	селфи|снимок|телефон
🤴	принц	королевство|король|корона|принц|притча|сказка|фэнтези
🤵	жених	жених|мужчина|мужчина в смокинге|смокинг|человек|человек в смокинге
🤶	миссис Клаус	миссис клаус|миссис Клаус|новый год|рождество|снегурочка
🤷	человек пожимает плечами	все|может|плечами|пожимает|равно|равнодушие|сомнение|человек
🤸	акробатический трюк	акробатика|акробатический трюк|активный|вверх ногами|гимнастика|колесо|спорт|счастливый|трюк|человек
🤹	жонглер	жонглер|жонглирование|многозадачность|навык|равновесие
🤺	фехтовальщик	рапира|спорт|фехтовальщик|фехтование|человек|шпага
🤼	борцы	бороться|борцы|борьба|драка|рестлинг|ринг|спаринг|спарринг|спорт|человек
🤽	водное поло	вода|водное|поло|спорт|человек
🤾	гандбол	бросок|гандбол|гандболист|мяч|спорт|спортсмен|человек
🤿	маска с трубкой	дайвинг|маска|маска с трубкой|нырять|подводная|подводное плавание|подводный|спорт|трубка
🥀	увядший цветок	завяла|лепесток|роза|увядший|цветок
🥁	барабан	барабан|инструмент|музыка|музыкальный инструмент|палочки|ударные
🥂	чокающиеся бокалы	бокал|годовщина|звон|напиток|отмечать|праздник|праздновать|чокающиеся бокалы|шампанское
🥃	стакан с виски	бурбон|вино|виски|коктейль|коньяк|ликер|стакан|стакан для виски|стакан с виски
🥄	ложка	ложечка|ложка|прибор|приборы|стол|столовые|столовый прибор|чайная
🥅	спортивные ворота	ворота|гол|сетка|спорт|спортивные ворота
🥇	золотая медаль	золотая медаль|золото|медаль|место|первое место|победа|победители|победитель|чемпион|чемпионы
🥈	серебряная медаль	второе место|медаль|серебро|серебряная медаль
🥉	бронзовая медаль	бронза|бронзовая медаль|медаль|третье место
🥊	боксерская перчатка	бокс|боксерская|перчатка|спорт
🥋	спортивное кимоно	боевые искусства|дзюдо|карате|тхэквондо|форма
🥌	керлинг	игра|камень|керлинг|лед|спорт|щетка
🥍	лакросс	гол|забить|клюшка|лакросс|мяч|ракетка
🥎	софтбол	бита|зажать|игра|мягкий|мяч|нести|перчатка|софтбол|спорт
🥏	летающий диск	бросать|диск|досуг|игра|летающая тарелка|летающий диск|спорт|фрисби
🥐	круассан	еда|круассан|рогалик|французский|хлеб
🥑	авокадо	авокадо|еда|фрукт
🥒	огурец	еда|зелень|овощ|огурец|огурчик|соленье
🥓	бекон	бекон|еда|мясо
🥔	картофель	еда|картофель|картошка|овощ
🥕	морковь	еда|морковка|морковь|овощ
🥖	багет	багет|батон|булка|еда|французский|хлеб
🥗	овощной салат	еда|овощи|овощная нарезка|овощной салат|огород|салат|урожай
🥘	рагу в сковороде	еда|паэлья|плов|рагу|рагу в сковороде|сковорода
🥙	шаурма	еда|кебаб|лаваш|перекус|пита|фалафель|шаверма|шаурма
🥚	яйцо	еда|завтрак|скорлупа|яйцо
🥛	стакан молока	молоко|напиток|полный стакан|стакан|стакан молока
🥜	арахис	арахис|еда|овощ|орех
🥝	киви	еда|киви|фрукт
🥞	блины	блинчики|блины|еда|масленица|оладьи|оладья
🥟	вареник	вареники|гёдза|колдуны|пельмени|равиоли|ушки|цзяоцзы
🥠	печенье с предсказанием	гадание|оракул|печенье|печенье с предсказанием|предсказание
🥡	коробка для еды на вынос	доставка еды|еда на вынос|еда с собой|коробка для еды на вынос|коробка с едой|на вынос|палочки|с собой
🥢	палочки для еды	палочки|палочки для еды|палочки для суши|приборы|столовые|японские палочки
🥣	миска с ложкой	глубокая|гранола|завтрак|каша|миска|мюсли|пиала|тарелка|хлопья
🥤	стакан с соломинкой	вода|газировка|кола|минеральная вода|напиток|питье|сок|стакан с газировкой|стакан с соломинкой|стаканчик с трубочкой
🥥	кокос	кокос|кокосы|орех|пальма|пина колада
🥦	брокколи	брокколи|капуста
🥧	пирог	выпечка|кусок пирога|мясной пирог|пирог|сдоба|торт|фруктовый пирог|шарлотка
🥨	крендель	брецель|бублик|закрученный|крендель|претцель
🥩	кусок мяса	вырезка|красное мясо|кусок|кусок мяса|мясо|отбивная|стейк
🥪	сэндвич	бутерброд|сендвич|сэндвич|хлеб
🥫	консервы	банка|банка сгущенки|жестянка|консервированная еда|консервная банка|консервы
🥬	зеленый салат	ботва|зеленый|капуста|латук|листовой|листья|салат
🥭	манго	еда|манго|сладкий|тропики|тропический|фрукт
🥮	лунный пирог	лунный пирог|лунный пряник|осень|фестиваль|юэбин
🥯	бублик	баранка|бейгель|бейгл|бублик|выпечка|еда|завтрак|намазать
🥰	улыбающееся лицо с сердечками	люблю|любовь|нежность|обожаю|радость|романтика|румянец|сердечки|улыбка|чувства
🥱	зевает	боковую|зевает|ночи|поздно|скука|скучно|спать|спокойной|устал
🥲	улыбающееся лицо со слезой	боль|гордость|лицо|облегчение|признательность|радость|слеза|трогательный|улыбка|умиление
🥳	на вечеринке	вечеринка|день|днюха|колпак|конфетти|отмечать|поздравляю|праздник|рождения
🥴	чувствует головокружение	глазах|голова|кружится|мутит|окосел|плохо|плывет|пьяный
🥵	жар	болеть|жар|лихорадка|плохо|пот|солнечный|температура|удар|умираю|язык
🥶	мерзнет	болею|дубак|зубы|мерзнуть|мороз|озноб|синий|снег|стучат|холодно
🥷	ниндзя	воин|диверсант|ниндзя|синоби|скрытный|солдат|убийца|человек|шпион
🥸	маскировка	внешность|инкогнито|маскировка|нос|очки|профессор|усы|ученый|шпион
🥹	еле сдерживает слезы	благодарность|восхищение|гордость|плакать|радость|слезы|счастья|умиление
🥺	умоляет	большие|глаза|грустно|почему|просить|сжалься|слезы|умолять|щенячьи
🥻	сари	женская|Индия|одежда|платье|сари|традиционная
🥼	лабораторный халат	белый халат|лаборатория|лабораторный халат|форма|халат
🥽	защитные очки	защита|защитные|лыжная|маска|нырять|очки|плавание|сварка
🥾	треккинговый ботинок	ботинки|идти|кемпинг|палатка|поход|рюкзак|треккинговая обувь|треккинговые ботинки|треккинговый ботинок|туристическая обувь|туристические ботинки
🥿	балетки	балетки|без каблука|обувь на плоской подошве|слиперы|туфли|туфли без каблука|туфли на плоской подошве|удобно
🦀	краб	знак|зодиак|клешни|краб|рак
🦁	морда льва	гороскоп|грива|животное|знак|знак зодиака|зодиак|лев|морда|морда льва
🦂	скорпион	гороскоп|знак|знак зодиака|зодиак|скорпион
🦃	индейка	благодарение|благодарения|индейка|индюк|крылья|птица
🦄	голова единорога	единорог|животное|морда|рог|сказочное|фэнтези
🦅	орел	орел|птица|хищник
🦆	утка	птица|селезень|утка
🦇	летучая мышь	вампир|животное|летучая|мышь
🦈	акула	акула|рыба|хищник
🦉	сова	мудрость|птица|сова|филин
🦊	морда лисицы	животное|лис|лиса|лисица|лисья|морда
🦋	бабочка	бабочка|красота|мотылек|насекомое
🦌	олень	грация|животное|зверь|олень|рога
🦍	горилла	горилла|животное|обезьяна
🦎	ящерица	зеленая|рептилия|ящерица
🦏	носорог	животное|носорог|рог
🦐	креветка	еда|креветка|маленькая|морепродукты|ракообразные|рачок
🦑	кальмар	еда|кальмар|моллюск|щупальца
🦒	жираф	длинная шея|животное|жираф|пятна|пятнистый|шея
🦓	зебра	зебра|зебры|полосатая|полоски|черно-белая
🦔	еж	еж|ежик|животное|иголка|иголки|колючий|колючки
🦕	зауропод	брахиозавр|бронтозавр|динозавр|диплодок|зауропод
🦖	Ти-Рекс	динозавр|рекс|Ти-Рекс|тираннозавр
🦗	сверчок	кузнечик|насекомое|сверчок|цикада
🦘	кенгуру	австралия|Австралия|животное|кенгуру|скакать|сумка|сумчатое|сумчатые
🦙	лама	альпака|викунья|гуанако|животное|копытное|лама|руно|шерсть
🦚	павлин	веер|красивый|павлин|перья|птица|хвост|цветной
🦛	гиппопотам	бегемот|гиппопотам|животное
🦜	попугай	ара|говорить|говорящий|пират|попугай|птица|птица-говорун
🦝	морда енота	енот|животное|любопытный|морда|полоскун
🦞	омар	животное|клешни|лангуст|лобстер|морепродукты|омар|рак
🦟	комар	вирус|комар|кровосос|лихорадка|малярия|москит|насекомое|укус
🦠	микроб	амеба|бактерия|вирус|микроб|наука
🦡	барсук	барсук|животное|носуха
🦢	лебедь	белый лебедь|водоплавающее|гадкий утенок|лебедь|птица
🦣	мамонт	бивень|большой|вымирание|животное|мамонт|мохнатый|предок
🦤	дронт	большой|вымерший|додо|дронт|маврикий|птица
🦥	ленивец	животное|ленивец|лень|медленно|медленный|спать
🦦	выдра	вода|выдра|животное|играть|ловить|рыбалка
🦧	орангутан	обезьяна|орангутан|орангутанг|примат|человекоподобная|человекоподобный
🦨	скунс	вонь|вонючка|вонять|животное|скунс|фу
🦩	фламинго	птица|розовый|тропики|тропическая|тропический|фламинго
🦪	устрица	жемчуг|жемчужина|нырять|раковина|ракушка|устрица|устричный
🦫	бобр	бобер|бобр|грызть|животное|зубы|плотина
🦬	бизон	бизон|буйвол|животное|зубр|стадо|як
🦭	тюлень	животное|морской котик|морской лев|нерпа|океан|тюлень
🦮	собака-поводырь	инвалид|поводырь|помощь|слепой|собака
🦯	белая трость	белая|инвалид|палка|слепой|трость|ходьба
🦴	кость	костлявый|косточка|кость|скелет|собака
🦵	нога	бедро|голень|колено|конечность|нога|пинать|пинок|стопа
🦶	щиколотка	лодыжка|нога|стопа|ступня|щиколотка
🦷	зуб	белый|дантист|зуб|зубной|зубы|стоматолог
🦸	супергерой	бэтмен|героиня|герой|сильная|супервумен|супергерой|супермен|суперсила
🦹	суперзлодей	вампир|дракула|зло|злодей|плохой|преступник|суперзлодей|суперсила
🦺	спасательный жилет	жилет|защитный|спасательный|спасать|экстренный
🦻	ухо со слуховым аппаратом	аппарат|возможности|глухота|ограниченные|слабослышащий|слух|слуховой|ухо
🦼	кресло-коляска с мотором	инвалид|кресло|кресло-коляска|кресло-коляска с мотором|транспорт|электропривод
🦽	кресло-коляска с ручным приводом	инвалид|коляска|кресло|ручной|транспорт
🦾	механическая рука	возможности|инвалид|инвалидность|механическая|ограниченные|протез|рука
🦿	механическая нога	возможности|инвалид|инвалидность|механическая|нога|ограниченные|протез
🧀	сыр	дырки|желтый|кусок|сыр
🧁	капкейк	выпечка|десерт|еда|капкейк|кекс|корзиночка с кремом|пирожное|сахар|сладости
🧂	солонка	вкус|еда|морская соль|приправа|соленый|солонка|соль
🧃	пакетик сока	картон|напиток|пакет|пакетик сока|пить|сок|трубочка
🧄	чеснок	вкус|головка|готовить|еда|запах|приправа|специя|чеснок|чесночный
🧅	лук	головка|готовить|еда|лук|луковица|луковый|плакать|репчатый
🧆	фалафель	бобовый|бобы|вегетарианский|горох|гороховый|еда|нут|фалафель|шарик
🧇	вафля	вафельный|вафли|вафля|десерт|еда|завтрак
🧈	масло	готовить|еда|масленка|масло|масляный|молокопродукты|молочный|сливки|сливочное
🧉	мате	мате|матэ|напиток|пить|трубочка|чай
🧊	кубик льда	кубик|кубик льда|лед|ледяной|холод|холодный
🧋	чай с шариками	баббл|бабл|боба чай|еда|жемчужный|молоко|напиток|чай|чай с шариками|шарик
🧌	тролль	монстр|сказка|троллинг|тролль|чудище|чудовище
🧍	человек стоит	стоя|стоять|человек
🧎	человек на коленях	йога|колени|на коленях|сидеть|человек|человек на коленях
🧏	глухой человек	глухой|жестов|немой|слышать|сурдопереводчик|ухо|язык
🧐	с моноклем	дедукция|детектив|доказательства|изучение|монокль|расследование|сомнение|ученый
🧑	взрослый	взрослый|гендерно нейтральный|совершеннолетний
🧑‍🌾	фермер	дачник|садовник|скотовод|фермер
🧑‍🍳	повар	повар|шеф|шеф-повар
🧑‍🍼	кормящий человек	забота|кормление|кормящий|малыш|новорожденный|няня|ребенок|родитель|человек
🧑‍🎄	Санта	Дед Мороз|Клаус|Новый год|Рождество|Санта
🧑‍🎓	учащийся	бакалавр|выпускник|студент|учащийся
🧑‍🎤	певец	актер|звезда|певец|пение|развлечения|рок
🧑‍🎨	художник	кисти|палитра|художник
🧑‍🏫	педагог	инструктор|педагог|преподаватель|профессор|учитель
🧑‍🏭	рабочий	завод|промышленность|рабочий
🧑‍💻	инженер	инженер|ноутбук|программист|разработчик|технарь
🧑‍💼	офисный работник	белый воротничок|бизнес|менеджер|офис|офисный работник
🧑‍🔧	механик	механик|сантехник|специалист|электрик
🧑‍🔬	ученый	биолог|инженер|наука|ученый|физик|химик
🧑‍🚀	космонавт	астронавт|космонавт|ракета
🧑‍🚒	пожарный	пожарная машина|пожарный
🧑‍🤝‍🧑	люди, держащиеся за руки	держаться|держащиеся|друзья|лучшие|люди|пара|руки|семья
🧑‍🦯	человек с белой тростью	инвалид|слепой|человек с белой тростью
🧑‍🦼	человек в кресле-коляске с мотором	инвалид|инвалидная коляска|человек в кресле-коляске с мотором
🧑‍🦽	человек в кресле-коляске с ручным приводом	инвалид|инвалидная коляска|человек в кресле-коляске с ручным приводом
🧑‍🧑‍🧒	семья: двое взрослых и ребенок	семья с одним ребенком|семья: двое взрослых и ребенок
🧑‍🧑‍🧒‍🧒	семья: двое взрослых и двое детей	семья с двумя детьми|семья: двое взрослых и двое детей
🧑‍🧒	семья: взрослый и ребенок	неполная семья с одним ребенком|родитель-одиночка с одним ребенком|семья: взрослый и ребенок
🧑‍🧒‍🧒	семья: взрослый и двое детей	неполная семья с двумя детьми|родитель-одиночка с двумя детьми|семья: взрослый и двое детей
🧑‍🩰	артист балета	артист|балерина|балет|искусство|пуанты|сцена|танец|танцор
🧒	ребенок	гендерно нейтральный|дитя|малыш|ребенок
🧓	пожилой человек	в возрасте|гендерно нейтральный|пожилой|пожилой человек|старый
🧔	бородатый человек	борода|бородатый человек|бородач|мужчина
🧕	женщина в платке	женщина в платке|женщина с платком|закрытые волосы|мантилья|монахиня|монашка|платок|прикрытые волосы|тичел|хиджаб
🧖	человек в бане	баня|париться|парная|паровая|паром|пропотеть|сауна|хамам
🧗	человек взбирается по скале	альпинистка|взбираться|восхождение|гора|подъем|скала|скалолазание|человек
🧘	человек в позе лотоса	йога|лотос|медитация|поза|расслабление
🧙	маг	волшебник|заклинание|колдун|маг|магия|чародей
🧚	фея	Динь-Динь|крылышки|крылья|Оберон|Пак|сказка|Титания|фея|фэнтези
🧛	вампир	вампир|граф|Дракула|зубы|кровопийца|кровь|упырь
