⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🔶	große orangefarbene Raute	große orangefarbene Raute|Große orangefarbene Raute|orangefarben|Raute
🔷	große blaue Raute	blau|große blaue Raute|Große blaue Raute|Raute
🔸	kleine orangefarbene Raute	kleine orangefarbene Raute|Kleine orangefarbene Raute|orangefarben|Raute
🔹	kleine blaue Raute	blau|kleine blaue Raute|Kleine blaue Raute|Raute
🔺	rotes Dreieck mit der Spitze nach oben	aufwärts|Dreieck|rot|rotes Dreieck mit der Spitze nach oben|Rotes Dreieck mit Spitze oben
🔻	rotes Dreieck mit der Spitze nach unten	abwärts|Dreieck|rot|rotes Dreieck mit der Spitze nach unten
🔼	Aufwärts-Schaltfläche	aufwärts|Aufwärts-Schaltfläche|nach oben|Pfeil|Schaltfläche
🔽	Abwärts-Schaltfläche	abwärts|Abwärts-Schaltfläche|nach unten|Pfeil|Schaltfläche
🕋	Kaaba	Hajj|Islam|Kaaba|Moslem|Muslim|Religion
🕌	Moschee	Islam|Moschee|Moslem|Muslim|Religion
🕍	Synagoge	Jude|jüdisch|Religion|Synagoge|Tempel
🕎	Menora	Leuchter|Menora|Religion
🕐	1:00 Uhr	01:00|1|1:00 Uhr|13:00|Punkt eins|Uhr|Zeit|Ziffernblatt 1:00 Uhr|Ziffernblatt 1.00 Uhr
🕑	2:00 Uhr	2|2:00 Uhr|Uhr|Zeit|Ziffernblatt 2:00 Uhr|Ziffernblatt 2.00 Uhr
🕒	3:00 Uhr	3|3:00 Uhr|Uhr|Zeit|Ziffernblatt 3:00 Uhr|Ziffernblatt 3.00 Uhr
🕓	4:00 Uhr	4|4:00 Uhr|Uhr|Zeit|Ziffernblatt 4:00 Uhr|Ziffernblatt 4.00 Uhr
🕔	5:00 Uhr	05:00|17:00|5|5:00 Uhr|Punkt fünf|Uhr|Zeit|Ziffernblatt 5:00 Uhr|Ziffernblatt 5.00 Uhr
🕕	6:00 Uhr	6|6:00 Uhr|Uhr|Zeit|Ziffernblatt 6:00 Uhr|Ziffernblatt 6.00 Uhr
🕖	7:00 Uhr	7|7:00 Uhr|Uhr|Ziffernblatt 7:00 Uhr|Ziffernblatt 7.00 Uhr
🕗	8:00 Uhr	8|8:00 Uhr|Uhr|um 8|Zeit|Ziffernblatt 8:00 Uhr|Ziffernblatt 8.00 Uhr
🕘	9:00 Uhr	9|9:00 Uhr|Uhr|Zeit|Ziffernblatt 9:00 Uhr|Ziffernblatt 9.00 Uhr
🕙	10:00 Uhr	10|10:00 Uhr|Uhr|Zeit|Ziffernblatt 10:00 Uhr|Ziffernblatt 10.00 Uhr
🕚	11:00 Uhr	11|11:00 Uhr|Uhr|Zeit|Ziffernblatt 11:00 Uhr|Ziffernblatt 11.00 Uhr
🕛	Ziffernblatt 12:00 Uhr	0 Uhr|12|12:00 Uhr|Mittag|Mitternacht|Uhr|Ziffernblatt 12:00 Uhr|Ziffernblatt 12.00 Uhr|zwölf Uhr
🕜	1:30 Uhr	1 Uhr 30|1:30 Uhr|halb zwei|Uhr|Ziffernblatt 1:30 Uhr|Ziffernblatt 1.30 Uhr
🕝	2:30 Uhr	2:30 Uhr|halb drei|Uhr|Zeit|Ziffernblatt 2:30 Uhr|Ziffernblatt 2.30 Uhr
🕞	3:30 Uhr	3:30 Uhr|halb vier|Uhr|Ziffernblatt 3:30 Uhr|Ziffernblatt 3.30 Uhr
🕟	4:30 Uhr	04:30|16:30|4:30 Uhr|halb fünf|Uhr|Zeit|Ziffernblatt 4:30 Uhr|Ziffernblatt 4.30 Uhr
🕠	5:30 Uhr	05:30|17:30|5:30 Uhr|halb sechs|Uhr|Ziffernblatt 5:30 Uhr|Ziffernblatt 5.30 Uhr
🕡	6:30 Uhr	6:30 Uhr|halb sieben|Uhr|Ziffernblatt 6.30 Uhr
🕢	7:30 Uhr	7:30 Uhr|halb acht|Uhr|Zeit|Ziffernblatt 7:30 Uhr|Ziffernblatt 7.30 Uhr
🕣	8:30 Uhr	8:30 Uhr|halb neun|Uhr|Ziffernblatt 8:30 Uhr|Ziffernblatt 8.30 Uhr
🕤	9:30 Uhr	9:30 Uhr|halb zehn|Uhr|Zeit|Ziffernblatt 9:30 Uhr|Ziffernblatt 9.30 Uhr
🕥	10:30 Uhr	10:30 Uhr|halb elf|Uhr|Ziffernblatt 10:30 Uhr|Ziffernblatt 10.30 Uhr
🕦	11:30 Uhr	11:30 Uhr|halb zwölf|Uhr|Zeit|Ziffernblatt 11:30 Uhr|Ziffernblatt 11.30 Uhr
🕧	12:30 Uhr	00:30|12:30|halb eins|Uhr|Zeit|Ziffernblatt 12:30 Uhr|Ziffernblatt 12.30 Uhr
🕺	tanzender Mann	elegant|festlich|Flair|Flamenco|Mann|Salsa|Schwung|Tango|Tanz|Tanzen|Tänzer
🖕	Mittelfinger	Finger|Hand|Mittelfinger
🖖	vulkanischer Gruß	Finger|Gruß|grüßen|Hand|Hände|spreizen
🖤	schwarzes Herz	böse|Herz|schwarz|schwarzes Herz
🗻	Fuji	Berg|Fuji|Vulkan
🗼	Tokyo Tower	Fernsehturm|Tokio|Tokyo Tower
🗽	Freiheitsstatue	Amerika|Freiheit|Freiheitsstatue
🗾	Umriss von Japan	Japan|Karte|Umriss von Japan
🗿	Statue	Gesicht|Maske|Osterinsel|Statue
😀	grinsendes Gesicht	froh|fröhlich|Gesicht|grinsen|haha|lachen|lol|lustig|Smiley
😁	strahlendes Gesicht mit lachenden Augen	Augen|fröhlich|Gesicht|grinsen|happy|lächeln|lachen|lustig|Smiley|strahlen|Zähne
😂	Gesicht mit Freudentränen	Freude|Freudentränen|fröhlich|Gesicht|haha|happy|hehe|hihi|lachen|lol|lustig|muahaha|rofl|Smiley|Tränen|witzig
😃	grinsendes Gesicht mit großen Augen	Augen|fröhlich|Gesicht|glücklich|grinsen|große|lächeln|lachen|lol|lustig|Mund|offen|Smiley
😄	grinsendes Gesicht mit lachenden Augen	Augen|fröhlich|geschlossen|Gesicht|glücklich|grinsen|lächeln|lachen|lol|lustig|Mund|offen|Smiley|witzig
😅	grinsendes Gesicht mit Schweißtropfen	Gesicht|grinsen|lächeln|lachen|lustig|Mund|nervös|offen|Schweiß|Schweißtropfen|schwitzen|Smiley
😆	Grinsegesicht mit zugekniffenen Augen	Augen|geschlossen|Gesicht|Grinsegesicht|grinsen|haha|hehe|hihi|lachen|lol|lustig|Mund|offen|Smiley|witzig|zugekniffen|zusammengekniffen
😇	lächelndes Gesicht mit Heiligenschein	brav|Engel|Gesicht|glücklich|Heiligenschein|Lächeln|lieb|seelig|Smiley
😈	grinsendes Gesicht mit Hörnern	böse|Dämon|Dämonin|Fantasie|grinsen|Hörner|lila|Märchen|Satan|Smiley|Teufel|violett
😉	zwinkerndes Gesicht	Auge|flirten|Gesicht|sexy|Smiley|zudrücken|zugedrückt|zukneifen|zuzwinkern|Zwinkern
😊	lächelndes Gesicht mit lachenden Augen	Augen|erröten|Freude|freundlich|Gesicht|glücklich|lächeln|lachen|rot|Wangen
😋	sich die Lippen leckendes Gesicht	Gesicht|lächeln|lecker|leckeres Essen|Sich die Lippen leckender Smiley|sich die Lippen leckendes Gesicht|Smiley|Zunge
😌	erleichtertes Gesicht	Augen|entspannt|erleichtert|geschlossen|Gesicht|Smiley|Zen|zufrieden
😍	lächelndes Gesicht mit herzförmigen Augen	Augen|Gesicht|glücklich|Herzen|herzförmig|lächeln|Liebe|Smiley|verliebt
😎	lächelndes Gesicht mit Sonnenbrille	cool|Gesicht|lächeln|Smiley|Sonnenbrille
😏	süffisant lächelndes Gesicht	feixen|flirten|Gesicht|lächeln|Mundwinkel|schief|Smiley|süffisant
😐	neutrales Gesicht	ausdruckslos|Gesicht|kommentarlos|neutral|Smiley|todernst|unbeeindruckt
😑	ausdrucksloses Gesicht	ausdruckslos|Gesicht|kommentarlos|selbstgefällig|Smiley|unbeeindruckt|unglaublich
😒	verstimmtes Gesicht	Gesicht|langweilig|Smiley|traurig|unglücklich|unzufrieden|verstimmt
😓	bedrücktes Gesicht mit Schweiß	Angstschweiß|Augen|bedrückt|geschlossen|Gesicht|Kopfschmerzen|Schweiß|Smiley
😔	nachdenkliches Gesicht	enttäuscht|Gesicht|nachdenklich|schrecklich|Smiley|traurig|verlieren|verloren
😕	verwundertes Gesicht	Gesicht|keine Ahnung|Smiley|traurig|verwirrt|verwundert|weiß nicht
😖	verwirrtes Gesicht	bestürzt|frustriert|Gesicht|konfus|Smiley|verwirrt|verzweifelt
😗	küssendes Gesicht	flirten|Gesicht|HDL|Knutsch|Kuss|küssen|Smiley|xoxo
😘	Kuss zuwerfendes Gesicht	flirten|Gesicht|Kuss|Küsschen|küssen|lieb|Smiley|zuwerfen
😙	küssendes Gesicht mit lächelnden Augen	Augen|flirten|Gesicht|knutsch|Kuss|küssen|lächeln|Smiley
😚	küssendes Gesicht mit geschlossenen Augen	geschlossen|Gesicht|Knutsch|Kuss|Küsschen|küssen|rot|Smiley|ugen|Wangen
😛	Gesicht mit herausgestreckter Zunge	ätsch|bäh|Gesicht|herausgestreckt|lachen|lustig|Smiley|Zunge
😜	zwinkerndes Gesicht mit herausgestreckter Zunge	Auge|Gesicht|herausgestreckt|herausstrecken|Smiley|zudrücken|zugedrückt|Zunge|Zwinkern
😝	Gesicht mit herausgestreckter Zunge und zusammengekniffenen Augen	Auge|Augen|bäh|ekel|Gesicht|herausgestreckt|herausstrecken|igitt|schmeck|schrecklich|Smiley|Zunge|zusammengekniffen|zusammenkneifen
😞	enttäuschtes Gesicht	enttäuscht|Gesicht|leider|schade|Smiley|traurig|verloren
😟	besorgtes Gesicht	besorgt|Gesicht|Smiley|sorgen|traurig
😠	verärgertes Gesicht	ärgern|böse|Gesicht|Smiley|verärgert|Wut|wütend|zornig
😡	schmollendes Gesicht	Gesicht|rot|Rot angelaufener Smiley|schmollendes Gesicht|wütend
😢	weinendes Gesicht	Gesicht|Smiley|Träne|traurig|weinen
😣	entschlossenes Gesicht	ausdauernd|durchhalten|Fokus|Gesicht|Konzentration|konzentrieren|Kopfschmerzen
😤	schnaubendes Gesicht	erleichtert|Gesicht|gewonnen|schnaubendes Gesicht
😥	trauriges aber erleichtertes Gesicht	ängstlich|enttäuscht|erleichtert|Gesicht|knapp|Schweiß|traurig
😦	entsetztes Gesicht	entsetzt|Gesicht|Mund|offen|schockiert|Smiley|verwundert
😧	qualvolles Gesicht	arm|Gesicht|leidend|qualvoll|Smiley|vergessen|wow
😨	ängstliches Gesicht	Angst|ängstlich|besorgt|Gesicht
😩	erschöpftes Gesicht	erschöpft|Fehlschlag|Gesicht|hungrig|müde|nein|Smiley|unglücklich
😪	schläfriges Gesicht	Gesicht|gute|müde|Nacht|schläfrig|Smiley|traurig
😫	müdes Gesicht	Gesicht|müde|niesen|Smiley|traurig
😬	Grimassen schneidendes Gesicht	Gesicht|Grimasse|peinlich|schneiden|Smiley|verziehen|Zähne
😭	heulendes Gesicht	flennen|Gesicht|heulen|schluchzen|Smiley|Tränen|Tränenfluss|traurig|weinen
😮	Gesicht mit offenem Mund	erstaunt|Gesicht|Mund|offen|omg|schockiert|unglaublich|vergessen|wow
😮‍💨	Gesicht, das ausatmet	ausatmen|erleichtert|erschöpft|Gesicht|husten|puh|pusten|schnaufen|Seufz|seufzen|Smiley
😯	verdutztes Gesicht	erstaunt|Gesicht|omg|Smiley|sprachlos|verdutzt
😰	besorgtes Gesicht mit Schweißtropfen	Angst|ängstlich|Angstschweiß|besorgt|Gesicht|Mund|nervös|offen|Schweiß
😱	vor Angst schreiendes Gesicht	Angst|ängstlich|Gesicht|Munch|omg|Panik|Schrei|schreien|schreiend
😲	erstauntes Gesicht	erstaunt|Gesicht|nee|omg|schockiert|Smiley|verwundert
😳	errötetes Gesicht mit großen Augen	Augen|erröten|Gesicht|groß|peinlich|rot|Scham|schämen|Smiley|überrascht|verlegen|Wangen
😴	schlafendes Gesicht	dösen|einschlafen|gähnen|Gesicht|gute Nacht|langweilig|Mittagsschlaf|müde|Nickerchen|Schlaf|schlafen|Smiley|zzz
😵	benommenes Gesicht	Augen|benommen|Gesicht|ko|krank|Kreuze|schwindelig|schwindlig|Smiley
😵‍💫	Gesicht mit Spiralen als Augen	Augen|Gesicht|Höhenangst|Hypnose|hypnotisiert|omg|schwindelig|schwindlig|Smiley|Spiralen|verwirrt|wirr
😶	Gesicht ohne Mund	Gesicht|kein|Mund|ohne|Smiley|sprachlos
😷	Gesicht mit Atemschutzmaske	Arzt|Atemschutzmaske|Bazillen|erkältet|Gesicht|krank|Krankheit|Mund|Mundschutz|Schutzmaske|Smiley|Viren|Virus
😸	grinsende Katze mit lachenden Augen	Augen|Gesicht|grinsen|Katze|Katzengesicht|lachen|Smiley|Tier
😹	Katze mit Freudentränen	Freude|Freudentränen|Gesicht|Katze|Katzengesicht|lachen|Smiley|Tier|Tränen
😺	grinsende Katze	Gesicht|grinsen|Katze|Katzengesicht|lachen|lol|lustig|Mund|offen|Smiley|Tier
😻	lachende Katze mit Herzen als Augen	Augen|Gesicht|Herzaugen|Herzen|Katze|Katzengesicht|lächeln|lachen|Liebe|Smiley|Tier|verliebt
😼	verwegen lächelnde Katze	Gesicht|grinsen|ironisch|Katze|Katzengesicht|lächeln|lachen|Smiley|Tier|verwegen
😽	küssende Katze	Augen|geschlossen|Gesicht|Katze|Katzengesicht|Kuss|Küsschen|Küsse|küssen|rot|Smiley|Tier|Wangen
😾	schmollende Katze	Gesicht|Katze|Katzengesicht|schmollen|Schmollmund|Smiley|Tier|verärgert
😿	weinende Katze	Gesicht|Katze|Katzengesicht|Smiley|Tier|Träne|traurig|weinen
🙀	erschöpfte Katze	Angst|erschöpft|Gesicht|Katze|Katzengesicht|Panik|Schock|schockiert|Schrei|schreien|Smiley|Tier|überrascht
🙁	betrübtes Gesicht	betrübt|Gesicht|schade|Smiley|traurig
🙂	leicht lächelndes Gesicht	Gesicht|lächeln|leicht|Smiley
🙃	umgekehrtes Gesicht	auf dem Kopf|Gesicht|lächeln|Smiley|stehen|umgekehrt
🙄	Augen verdrehendes Gesicht	Augen|genervt|Gesicht|meinetwegen|nerv|ohje|rollen|Smiley|verdrehen|verrollen
🙅	Person mit überkreuzten Armen	Arme|Gesicht|NEIN|nicht|Person|überkreuzt|verbieten|verboten
🙆	Person mit Händen auf dem Kopf	Geste|Hände|oje|OK|omg|Person|über Kopf|Übung
🙇	sich verbeugende Person	Bedauern|bitten|Demut|Entschuldigung|Geste|Kniefall|Meditation|meditieren|Person|sorry|unterwerfen|verbeugen|Verzeihung
🙈	sich die Augen zuhaltendes Affengesicht	Affe|Affengesicht|Augen|böse|Geheimnis|gemein|Geste|nein|omg|sehen|Tier|verboten|vergessen|verstecken|zuhalten
🙉	sich die Ohren zuhaltendes Affengesicht	Affe|Affengesicht|böse|Geheimnis|gemein|Geste|hören|nein|Ohren|Tier|verboten|zuhalten|zuhören
🙊	sich den Mund zuhaltendes Affengesicht	Affe|Affengesicht|böse|Geheimnis|gemein|Geste|Hand|heimlich|leise|Mund|nein|sagen|sprechen|still|Tier|ups|verboten|zuhalten
🙋	Person mit erhobenem Arm	aufzeigen|drankommen|drannehmen|Frage|Geste|Hand|heben|hier|ich|Person|sich melden|wissen
🙌	zwei erhobene Handflächen	erhoben|feiern|Geste|Hände|Handflächen|hurra|zwei
🙍	missmutige Person	frustriert|Gesicht|missmutig|Person|runzeln|stirnrunzelnd|unzufrieden|verärgert
🙎	schmollende Person	eingeschnappt|enttäuscht|jammerd|jammern|Person|schmollen|schmollend|verärgert
🙏	zusammengelegte Handflächen	beten|betend|bitten|danke|danken|Gebet|gefaltet|grüßen|Handflächen|zusammengelegt
🚀	Rakete	All|Rakete|Weltraum
🚁	Hubschrauber	fliegen|Helikopter|Hubschrauber|reisen
🚂	Dampflokomotive	Bahn|Dampf|Dampflok|Dampflokomotive|Fahrzeug|Lokomotive|Schiene|Zug
🚃	Eisenbahnwagen	Eisenbahnwagen|Fahrzeug|Straßenbahn|Straßenbahnwagen|Tram|Wagen|Waggon|Wagon|Zug
🚄	Hochgeschwindigkeitszug mit spitzer Nase	Hochgeschwindigkeitszug mit spitzer Nase|ICE|Shinkansen|TGV|Zug
🚅	Hochgeschwindigkeitszug	Bahn|Hochgeschwindigkeitszug|Japan|Shinkansen|Zug
🚆	Zug	Bahn|Eisenbahn|ICE|Zug
🚇	U-Bahn	Metro|U-Bahn
🚈	S-Bahn	Bahn|ICE|Monorail|S-Bahn|Zug
🚉	Bahnhof	Bahn|Bahnhof|Zug
🚊	Straßenbahn	Straßenbahn|Tram|Verkehrsmittel
🚋	Straßenbahnwagen	Straßenbahn|Straßenbahnwagen|Tram|Tramwagen|Transport|Verkehrsmittel|Waggon
🚌	Bus	Bus|Fahrzeug|Schulbus
🚍	Bus von vorne	Bus|Bus von vorne|Verkehrsmittel|Vorderansicht Bus
🚎	Oberleitungsbus	Oberleitungsbus|Straßenbahn|Trolleybus
🚏	Bushaltestelle	Bus|Bushaltestelle|Haltestelle
🚐	Kleinbus	Bus|Fahrzeug|Kleinbus
🚑	Krankenwagen	Ambulanz|Krankenwagen|Notfall
🚒	Feuerwehrauto	Brand|Feuerwehrauto|Löschfahrzeug
🚓	Polizeiwagen	Polizei|Polizeiwagen|Streifenwagen
🚔	Polizeiwagen von vorne	Polizei|Polizeiwagen von vorne|Streifenwagen|Vorderansicht Polizeiwagen
🚕	Taxi	Auto|Fahrzeug|Taxi
🚖	Taxi von vorne	Auto|fahren|gelb|Taxi|Taxi von vorne|Vorderansicht Taxi
🚗	Auto	Auto|fahren|Fahrzeug|rot|Verkehr
🚘	Auto von vorne	Auto|Auto von vorne|Automobil|Fahrzeug|rot|Vorderansicht Auto
🚙	Wohnmobil	Auto|blau|fahren|verreisen|Wohnmobil
🚚	Lieferwagen	Lastwagen|Lieferwagen|LKW
🚛	Sattelzug	Lastwagen|LKW|Sattelzug|umziehen|ziehen um
🚜	Traktor	Bauernhof|Landwirtschaft|Traktor|Trecker
🚝	Einschienenbahn	Bahn|Einschienenbahn|Magnetschwebebahn|Monorail
🚞	Bergbahn	Bahn|Bergbahn|Bimmelbahn|Zug
🚟	Schwebebahn	Hängebahn|Schwebebahn
🚠	Bergschwebebahn	Bergschwebebahn|Schwebebahn
🚡	Bergseilbahn	Bergseilbahn|Gondel|Seilbahn
🚢	Schiff	Dampfer|Kreuzfahrtschiff|Schiff|Traumschiff
🚣	Person im Ruderboot	Angeln|Boot|Kanu|Paddel|Person|Person im Ruderboot|Ruderboot|Rudern|Sport
🚤	Schnellboot	Boot|Luxus|Schnellboot|See|Sommer|Wasser|Yacht
🚥	horizontale Verkehrsampel	Ampel|horizontale Verkehrsampel|Horizontale Verkehrsampel|Verkehrsampel|vertikal
🚦	vertikale Verkehrsampel	Ampel|horizontal|Verkehrsampel|vertikale Verkehrsampel|Vertikale Verkehrsampel
🚧	Baustellenabsperrung	Baustelle|Baustellenabsperrung|Baustellenschild|Schild
🚨	Polizeilicht	Polizei|Polizeilicht|Sirene
🚩	Wimpel	Dreiecksflagge|Flagge|rot|Standortflagge|Wimpel
🚪	Tür	Eingang|geschlossen|Tür
🚫	Verboten	kein zutritt|Kein-Zutritt-Zeichen|Verboten|Verbotszeichen
🚬	Zigarette	Kippe|Rauchen|Rauchersymbol|Zigarette
🚭	Rauchverbot	Rauchen verboten|Rauchverbot|Zigarette
🚮	Symbol „Papierkorb“	Abfall|Müll|Mülleimer|Sauberkeit|Symbol „Papierkorb“|wegschmeißen|wegwerfen
🚯	Abfall verboten	Abfall|Müll|Müll-verboten-Zeichen|verboten
🚰	Trinkwasser	Trinkwasser|Wasser|Wasserhahn
🚱	Kein Trinkwasser	kein Trinkwasser|Kein Trinkwasser|verboten|verschmutzt|Wasser
🚲	Fahrrad	BMX|Fahrrad|Rad|Radeln|Radler|Spinning
🚳	Fahrräder verboten	Fahhrad|Fahrrad-verboten-Schild|Fahrräder verboten|Radfahren verboten|verboten
🚴	Radfahrer(in)	Fahrrad|Person|Rad|radeln|Radfahren|Radfahrer|Radfahrer(in)|Radfahrerin|Sport|Tour de France
🚵	Mountainbiker(in)	Fahrrad|Mountainbiker|Mountainbiker(in)|Mountainbikerin|Mountainbiking|Person|Rad|Radfahren|Radfahrer|Radfahrerin|Sport|Tour de France
🚶	Fußgänger(in)	Fußgänger|Fußgänger(in)|Fußgängerin|gehen|gehend|Person|schlendern|schlurfen|wandern
🚷	Fußgänger verboten	Fußgänger verboten|Fußgänger-verboten-Schild|verboten
🚸	Kinder überqueren die Straße	Kinder|Kinder überqueren die Straße|Kinder-queren-die-Straße-Schild|Straßenschild|Vorsicht
🚹	Herren	Herren|Herrentoilette|WC
🚺	Damen	Damen|Damentoilette|WC
🚻	Toiletten	Toilette|Toiletten|WC
🚼	Symbol „Baby“	Baby|Symbol „Baby“|Wickelraum
🚽	Toilette	Klo|Toilette|WC
🚾	WC	Toilette|WC
🚿	Dusche	Dusche|Duschkopf
🛀	badende Person	Bad|baden|badende Person|Badewanne|Badezimmer|Dusche|entspannen
🛁	Badewanne	Bad|Badewanne|Badezimmer|Dusche
🛂	Passkontrolle	Pass|Passkontrolle
🛃	Zollkontrolle	Zoll|Zollkontrolle
🛄	Gepäckausgabe	Gepäck|Gepäckausgabe
🛅	Gepäckaufbewahrung	Gepäck|Gepäckaufbewahrung|Schließfach
🛌	im Bett liegende Person	Bett|gute Nacht|Heia|im Bett liegende Person|Im Bett liegende Person|müde|Nachtruhe|schlaf schön|schlafen|zzz
🛐	religiöse Stätte	Kultstätte|Religion|religiöse Stätte
🛑	Stoppschild	achteckig|Schild|Stopp|Stoppschild
🛒	Einkaufswagen	einkaufen|Einkaufswagen
🛕	Hindutempel	Gebäude|Hindu|Hindutempel|Tempel
🛖	Hütte	Behausung|Gebäude|Haus|Hütte|Jurte|Objekt|Rundhaus|Schutz
🛗	Fahrstuhl	Aufzug|Fahrstuhl|Haus|Lift|Symbol|Transport
🛘	Erdrutsch	Berg|Erdbeben|Felsen|Gefahr|Katastrophe|Lawine|Murenabgang|Murgang|Schlammlawine
🛜	WLAN	Computer|drahtlos|Hotspot|Internet|kabellos|Netzwerk|Router|Verbindung|Wi-Fi|WLAN
🛝	Spielplatzrutsche	Rutschbahn|Rutsche|spielen|Spielplatz|Spielplatzrutsche|Vergnügungspark
🛞	Autorad	Autorad|Autoreifen|drehen|Rad|Reifen|Reifen mit Felgen|rotieren
🛟	Rettungsring	Leben retten|Lebensretter|retten|Rettung|Rettungsring|Schwimmring|Sicherheit
🛫	Abflug	Abflug|fliegen|Flughafen|Flugzeug|Start|Start eines Flugzeugs
🛬	Landung eines Flugzeugs	Ankunft|Flieger|Flughafen|Flugzeug|landen|Landung|Landung eines Flugzeugs
🛴	Tretroller	Roller|Tretroller
🛵	Motorroller	Motoroller|Motorroller|Roller|Vespa
🛶	Kanu	Boot|Kanu|Wassersport
🛷	Schlitten	Rodel|Rodeln|Schlitten|Schnee
🛸	fliegende Untertasse	Alien|Außerirdisch|fliegende Untertasse|UFO
🛹	Skateboard	Board|Brett|Räder|Skateboard|Skateboard fahren|skaten|Skater
🛺	Autorikscha	Autorikscha|Fahrzeug|Tuk-Tuk
🛻	Pick-up	Auto|fahren|Fahrzeug|Laster|Lastwagen|Lieferwagen|LKW|Pick-up|Transport
🛼	Rollschuh	Rollen|Rollerskate|Rollschuh|Rollschuh laufen|Schuh|Sport
🟠	oranger Punkt	Form|Kreis|orange|orange Scheibe|oranger Kreis|oranger Punkt|Punkt
🟡	gelber Punkt	Form|gelb|gelbe Scheibe|gelber Kreis|gelber Punkt|Kreis|Punkt|Scheibe
🟢	grüner Punkt	Form|grün|grüne Scheibe|grüner Kreis|grüner Punkt|Kreis|Punkt
🟣	lila Punkt	Form|Kreis|lila|Punkt|Scheibe|violett
🟤	brauner Punkt	braun|braune Scheibe|brauner Kreis|brauner Punkt|Form|Kreis|Punkt
🟥	rotes Quadrat	Form|Quadrat|rot|rotes Quadrat|rotes Viereck|Viereck
🟦	blaues Quadrat	blau|blaues Quadrat|blaues Viereck|Form|Quadrat|Viereck
🟧	oranges Quadrat	Form|orange|oranges Quadrat|oranges Viereck|Quadrat|Viereck
🟨	gelbes Quadrat	Form|gelb|gelbes Quadrat|gelbes Viereck|Quadrat|Viereck
🟩	grünes Quadrat	Form|grün|grünes Quadrat|grünes Viereck|Quadrat|Viereck
🟪	lila Quadrat	Form|lila|Quadrat|Viereck|violett
🟫	braunes Quadrat	braun|braunes Quadrat|braunes Viereck|Form|Quadrat|Viereck
🟰	Gleichheitszeichen extrafett	gleich|Gleichheit|Gleichheitszeichen|Gleichheitszeichen extrafett|ist gleich|Mathematik|Vergleichszeichen
🤌	zusammengedrückte Finger	Bündelhand|Finger|Fingerspitzen|gehts noch|Geste|Hand|Handgeste|italienisch|was|zusammengedrückt|zusammengelegt
🤍	weißes Herz	Herz|weiß|weißes Herz
🤎	braunes Herz	braun|braunes Herz|Herz
🤏	Wenig-Geste	Betrag|Finger|gering|Geste|Hand|klein|Menge|unbedeutend|wenig|Wenig-Geste|winzig
🤐	Gesicht mit Reißverschlussmund	Geheimnis|Gesicht|halten|Mund|Reißverschluss|schweigen|Smiley|wahren
🤑	Gesicht mit Dollarzeichen	Dollar|Dollarzeichen|Geld|Gesicht|Mund|Smiley|Zunge
🤒	Gesicht mit Fieberthermometer	Fieber|Gesicht|krank|messen|Smiley|Thermometer
🤓	Strebergesicht	Brille|Gesicht|intelligent|klug|Nerd|schlau|Schlaumeier|smart|Smiley|Streber|Strebergesicht
🤔	nachdenkendes Gesicht	fragen|Gesicht|grübeln|hm|komisch|nachdenken|nachdenklich|Smiley|wundern
🤕	Gesicht mit Kopfverband	aua|autsch|Gesicht|Kopf|Schmerzen|Smiley|Verband|Verletzung
🤖	Roboter	Gesicht|Monster|Roboter|Robotergesicht|Roboterkopf
🤗	Gesicht mit umarmenden Händen	drücken|Gesicht|Hände|Smiley|umarmen|Umarmung
🤘	Teufelsgruß	corna|Finger|Hand|Heavy|Hörner|Mano cornuta|Metal|Metalhand|Pommesgabel|Rock|Teufel|Teufelsgruß|yeah
🤙	Ruf-mich-an-Handzeichen	Anruf|anrufen|Hand|ruf|Ruf-mich-an-Handzeichen|Shaka
🤚	erhobene Hand von hinten	erhoben|erhobene Hand von hinten|erhobener Handrücken|Hand
🤛	Faust nach links	Faust|Hand|nach links
🤜	Faust nach rechts	Faust|Hand|nach rechts
🤝	Handschlag	Hände|Händeschütteln|Handschlag|Vereinbarung
🤞	Hand mit gekreuzten Fingern	Finger|gekreuzt|Hand|Hand mit gekreuzten Fingern
🤟	Ich-liebe-dich-Geste	drei|Finger|Geste|Hand|hdl|Ich-liebe-dich-Geste|Liebe
🤠	Gesicht mit Cowboyhut	Cowboy|Cowboyhut|Cowgirl|Gesicht|Hut|Smiley
🤡	Clown-Gesicht	Clown|Clown-Gesicht|Gesicht
🤢	würgendes Gesicht	ekel|eklig|erbrechen|Gesicht|grün|igitt|Smiley|Übelkeit|übergeben|widerlich|würgen
🤣	sich vor Lachen auf dem Boden wälzen	Boden|Gesicht|haha|hehe|lachen|lol|lustig|muahaha|rofl|Smiley|Tränen|wälzen|witzig
🤤	sabberndes Gesicht	Gesicht|sabbern|Smiley
🤥	lügendes Gesicht	Gesicht|Lüge|Nase|Pinocchio|Schwindel
🤦	sich an den Kopf fassende Person	fassen|frustriert|genervt|Gesicht|Kopf|oh nein|OMG|Person|unfassbar|unglaublich|verzweifelt
🤧	niesendes Gesicht	erkältet|Erkältung|Gesicht|Gesundheit|Grippe|hatschi|krank|Nase|niesen|putzen|Smiley|Taschentuch
