⌚	montre	heure|montre
😓	visage démoralisé avec goutte de sueur	émoticône|froide|mal de tête|migraine|mince|ouf|peur|sueur|triste|visage|visage démoralisé avec goutte de sueur|visage et sueurs froides
😔	visage pensif	abattu|déçu|émoticône|horrible|mort|pensif|perdu|triste|visage
😕	visage confus	confus|désolé|émoticône|ennuyé|je ne sais pas|triste|visage
😖	visage déconcerté	confus|déconcerté|émoticône|fâché|frustré|irrité|triste|visage|yeux fermés
😗	visage faisant un bisou	amour|baiser|bise|bisou|embrasser|émoticône|je t’aime|petit bisou|visage faisant un bisou|visage qui fait une bise
😘	visage envoyant un bisou	amour|baiser|bise|bisou et cœur|bonjour|bonne nuit|cœur|embrasser|émoticône|je t’aime|visage envoyant un bisou|visage qui fait une bise avec un cœur
😙	visage aux yeux rieurs faisant un bisou	amour|baiser|bise|bisou|embrasser|émoticône|gros bisou|je t’aime|sourire|visage aux yeux rieurs faisant un bisou|visage aux yeux souriants qui fait une bise|yeux fermés
😚	visage faisant un bisou avec les yeux fermés	baiser|bise|bisou|bisou les yeux fermés|embrasser|émoticône|rougir|visage faisant un bisou avec les yeux fermés|visage qui fait une bise avec les yeux fermés|visage rougissant|yeux fermés
😛	visage qui tire la langue	cool|émoticône|génial|langue|super|visage|visage qui tire la langue
😜	visage qui tire la langue et fait un clin d’œil	amusant|blague|clin d’œil|émoticône|fou|langue|loufoque|marrant|œil|rigolo|visage|visage qui tire la langue et fait un clin d’œil
😝	visage qui tire la langue les yeux plissés	dégoûtant|émoticône|goût|horrible|langue|œil|omd|on ne vit qu’une fois|peu importe|visage qui tire la langue et ferme les yeux|visage qui tire la langue les yeux plissés|yeux fermés
😞	visage déçu	abattu|affreux|découragé|déçu|émoticône|malheureux|tort|triste|visage
😟	visage inquiet	anxieux|émoticône|inquiet|préoccupé|stressé|surpris|triste|visage
😠	visage en colère	colère|émoticône|exaspéré|fâché|frustré|mécontent|rageur|sourcils froncés|visage en colère
😡	visage boudeur	colère|émoticône|énervé|exaspéré|fâché|furieux|mécontent|rageur|rouge|rouge de colère|sourcils froncés|visage boudeur
😢	visage qui pleure	émoticône|horrible|larme|larmes|malheureux|pleurer|triste|visage qui pleure
😣	visage persévérant	concentré|émoticône|mal de tête|migraine|persévérant|visage
😤	visage avec fumée sortant des narines	colère|émoticône|énervé|fâché|mécontent|triomphe|victoire|visage|visage avec fumée sortant des narines
😥	visage triste mais soulagé	déçu|émoticône|ouf|pfiou|soulagé|sueur|triste|visage déçu mais soulagé|visage triste mais soulagé
😦	visage mécontent avec bouche ouverte	bouche|déçu|effrayé|émoticône|ouverte|peur|pris au dépourvu|surpris|visage|visage déçu avec bouche ouverte|visage mécontent avec bouche ouverte
😧	visage angoissé	angoisse|comment|émoticône|hein|mécontent|oubli|peur|quoi|stressé|surpris|terrifié|visage angoissé
😨	visage effrayé	anxieux|apeuré|blême|effrayé|émoticône|inquiet|peur|terrifié|visage
😩	visage épuisé	échec|émoticône|épuisé|faim|fatigué|mécontent|non|pleurer|sommeil|triste|visage|visage las
😪	visage endormi	émoticône|fatigué|larme|pleurer|sommeil|triste|visage|visage endormi
😫	visage fatigué	contrarié|émoticône|fatigue|mécontent|triste|visage|visage fatigué
😬	visage grimaçant	dents|émoticône|gêné|grimace|rien|sourire|visage|visage grimaçant
😭	visage qui pleure à chaudes larmes	émoticône|larme|larmes|malheureux|pleurer|pleurs|sangloter|triste|visage|visage qui pleure à chaudes larmes
😮	visage avec bouche ouverte	bouche bée|bouche ouverte|choqué|émoticône|épaté|incroyable|omd|oubli|surpris|visage avec bouche ouverte|visage avec la bouche ouverte|visage étonné
😮‍💨	visage expirant	chuchoter|découragé|déçu|expiration|exténué|fatigué|siffler|souffler|soulagement|soupir|sursaut|visage expirant
😯	visage ébahi	émoticône|incroyable|omd|sans voix|stupéfait|stupeur|surpris|visage|visage à la bouche ouverte|visage ébahi|visage sans voix
😰	visage anxieux avec goutte de sueur	aah|bleu|bouche bée|effrayé|émoticône|froid|mince|nerveux|peur bleue|sueurs froides|terrifié|visage anxieux avec goutte de sueur|visage en sueur bouche ouverte
😱	visage qui hurle de peur	choqué|cri|effrayé|Munch|omd|peur|surpris|terreur|visage|visage qui hurle de peur
😲	visage stupéfait	choc|choqué|émoticône|étonné|impossible|incroyable|omd|stupéfait|visage
😳	visage qui rougit	chaud|comment|ébahi|émoticône|étonné|gêné|impressionné|incrédule|incroyable|quoi|rouge|visage qui rougit
😴	visage somnolent	bonne nuit|coucher|dormir|émoticône|endormi|fatigué|sieste|sommeil|visage|visage somnolent|zzz
😵	visage étourdi	émoticône|fatigué|malade|mort|tournis|visage|visage avec le tournis|visage étourdi
😵‍💫	visage aux yeux en spirales	confusion|étourdi|hagard|malade|nausée|ouh la la|tête qui tourne|visage aux yeux en spirales
😶	visage sans bouche	émoticône|muet|ne rien dire|neutre|sans commentaires|sans expression|sans voix|se taire|secret|silence|sourdine|visage sans bouche
😷	visage avec masque	bactéries|dentiste|docteur|émoticône|germes|malade|masque|masque chirurgical|médecin|rhume|visage avec masque
😸	chat qui sourit avec des yeux rieurs	animal|chat|chat avec un grand sourire|chat qui sourit avec des yeux rieurs|sourire|visage|yeux rieurs|yeux souriants
😹	chat qui pleure de joie	animal|chat|chat qui rit aux larmes|joie|larmes|lol|mdr|pleurer de rire|rire|rire aux larmes
😺	chat qui sourit	animal|bouche ouverte|chat|chat qui sourit|sourire|visage
😻	chat souriant aux yeux en cœurs	amour|amoureux|chat|chat souriant aux yeux en cœurs|chat souriant avec des coeurs dans les yeux|cœur|coeurs|coeurs dans les yeux|sourire|yeux
😼	chat avec sourire en coin	animal|chat|chat avec sourire en coin|ironique|narquois|sourire en coin|sourire narquois|tête de chat|visage
😽	chat qui fait un bisou	animal|baiser|bise|bisou|chat|chat qui embrasse|chat qui fait un bisou|chat qui fait une bise avec les yeux fermés|embrasser|tête de chat
😾	chat qui boude	animal|bouder|chat|chat en colère|chat qui boude|colère|désaccord|ennui|tête de chat|visage
😿	chat qui pleure	animal|chat|chat qui pleure|larme|pleurer|tête de chat|triste|visage
🙀	chat fatigué	animal|chat|chat fatigué|fatigue|inquiet|oh|surpris|tête de chat avec la bouche ouverte|visage
🙁	visage légèrement mécontent	émoticône|mécontent|triste|visage|visage légèrement mécontent
🙂	visage avec un léger sourire	content|émoticône|heureux|léger sourire|sourire|visage avec un léger sourire|visage souriant
🙃	tête à l’envers	émoticône|incroyable|renversée|tête|tête à l’envers|visage
🙄	visage roulant des yeux	agacé|émoticône|excédé|incrédulité|roulement|visage qui lève les yeux au ciel|visage qui roule des yeux|visage roulant des yeux|yeux
🙅	personne faisant un geste d’interdiction	aucune chance|bloquer|femme|geste|impossible|interdit|main|niet|non|pas possible|personne faisant un geste d’interdiction|stop
🙆	personne faisant un geste d’acceptation	d’accord|danser|exercice|femme|geste|grandir|lever les bras|main|OK|personne|personne faisant un geste d’acceptation
🙇	personne qui s’incline	confus|désolé|excuses|geste|gronder|incliné|j’ai compris|OK|pardon|personne inclinée|personne qui s’incline
🙈	singe ne rien voir	animal|caché|effrayé|embarras|gêne|geste|interdit|ne pas voir|non|omd|oubli|peur|rien vu rien entendu|secret|singe|visage|voir|yeux
🙉	singe ne rien entendre	animal|écouter|geste|interdit|ne pas entendre|non|oreilles|rien vu rien entendu|secret|singe|singe ne rien entendre|sourd|visage
🙊	singe ne rien dire	animal|bouche cousue|chut|geste|interdit|motus|muet|non|parler|se taire|secret|silence|singe|singe ne rien dire|visage
🙋	personne qui lève la main	compte sur moi|content|femme qui lève la main|geste|ici|je sais|levée|main|moi|participer|personne qui lève la main|présente
🙌	mains levées	air|geste|hourra|mains|mains en l’air|mains levées|youpi
🙍	personne fronçant les sourcils	contrariée|déçue|embêtée|femme|froncer|gênée|geste|mécontente|pas contente|personne|personne fronçant les sourcils|sourcils|triste
🙎	personne qui boude	bouder|déçue|énervée|expression|fâchée|faire la tête|femme|froncer les sourcils|geste|inquiète|moue|personne|personne qui boude
🙏	mains en prière	demander|félicitations|mains|mains en prière|mains l’une contre l’autre|merci|prier|prière|s’il te plaît|s’il vous plaît|salut|se taper dans la main|tope là
🚀	fusée	décollage|espace|fusée|moyen de transport|voyage
🚁	hélicoptère	hélico|hélicoptère|moyen de transport|véhicule
🚂	locomotive	chemin de fer|locomotive|machine à vapeur|moyen de transport|rail|tchou tchou|train|vapeur|voyage
🚃	wagon	chemin de fer|moyen de transport|rail|train|tram|tramway|voiture|voyage|wagon
🚄	TGV	chemin de fer|moyen de transport|rail|rapide|TGV|train|train à grande vitesse|vitesse|voyage
🚅	train à grande vitesse	chemin de fer|moyen de transport|rail|rapide|TGV|train|train à grande vitesse|voyage
🚆	train	arrivée|chemin de fer|moyen de transport|rail|train|voyage
🚇	métro	métro|moyen de transport
🚈	métro léger	métro|métro léger|monorail|moyen de transport|rail|RER
🚉	gare	chemin de fer|gare|moyen de transport|rail|RER|train
🚊	tramway	moyen de transport|RER|tram|tramway|transport|trolley|trolleybus
🚋	wagon de tramway	moyen de transport|tram|trolleybus|voiture|voyage|wagon de tramway
🚌	bus	bus|école|moyen de transport|véhicule
🚍	bus de face	bus|bus de face|bus qui arrive|car|moyen de transport
🚎	trolleybus	bus|moyen de transport|tram|tramway|trolley|trolleybus
🚏	arrêt de bus	arrêt de bus|bus
🚐	minibus	bus|minibus|moyen de transport|navette|véhicule
🚑	ambulance	ambulance|urgences|véhicule
🚒	camion de pompier	camion de pompier|pin-pon|pompier
🚓	voiture de police	flic|patrouille|police|véhicule|voiture de police
🚔	voiture de police de face	police|véhicule|voiture de police de face|voiture de police qui arrive
🚕	taxi	moyen de transport|taxi|taxi jaune|uber|véhicule
🚖	taxi de face	joe le taxi|new york|taxi|taxi de face|taxi jaune|uber|voiture
🚗	voiture	automobile|conduire|moyen de transport|véhicule|voiture|voyage
🚘	voiture de face	automobile|conduire|moyen de transport|véhicule|voiture|voiture de face|voiture qui arrive|voyage
🚙	véhicule utilitaire sport	automobile|conduire|loisirs|moyen de transport|véhicule de loisirs|véhicule utilitaire sport|voiture|voyage
🚚	camion de livraison	camion|camion de livraison|camionnette|moyen de transport|véhicule
🚛	semi-remorque	camion|moyen de transport|poids lourd|semi|semi-remorque|véhicule
🚜	tracteur	moyen de transport|tracteur|véhicule
🚝	monorail	monorail|moyen de transport|véhicule
🚞	train de montagne	chemin de fer|moyen de transport|rail|train|train de montagne|voyage|wagon
🚟	train suspendu	moyen de transport|train|train suspendu|voyage
🚠	téléphérique	montagne|moyen de transport|ski|télécabine|téléphérique
🚡	tramway aérien	moyen de transport|télécabine|tramway|tramway aérien
🚢	navire	bateau|croisière|moyen de transport|navire|paquebot|Titanic|voyage
🚣	personne ramant dans une barque	barque|bateau|lac|naviguer|pêche|personne|personne ramant dans une barque|ramer|rameur|rivière|sport
🚤	hors-bord	bateau|été|hors-bord|luxe|moyen de transport|vedette|voyage
🚥	feu tricolore horizontal	carrefour|croisement|feu|feu de circulation|feu tricolore horizontal|tricolore
🚦	feu tricolore vertical	carrefour|croisement|feu|feu de circulation|feu tricolore vertical|tricolore
🚧	travaux	barrière|travaux
🚨	gyrophare	alarme|alerte|gyrophare|lumière|police|sirène|urgences|voiture
🚩	drapeau triangulaire	drapeau|drapeau rouge|drapeau triangulaire|fanion|golf
🚪	porte	placard|porte|porte d’entrée
🚫	symbole d’interdiction	entrée interdite|interdiction|interdit|symbole d’interdiction
🚬	cigarette	cigarette|cigarette allumée|fumer|fumeur|signe Fumeur
🚭	interdiction de fumer	cigarette barrée|fumer|interdiction|interdiction de fumer|interdit|interdit de fumer
🚮	icône Poubelle	corbeille|déchets|icône Poubelle|jeter|poubelle
🚯	dépôt d’ordures interdit	déchets|dépôt d’ordures interdit|interdiction|interdit|ne pas jeter
🚰	eau potable	eau|eau du robinet|eau potable|robinet
🚱	eau non potable	eau|eau non potable|imbuvable|interdiction|interdit|ne pas boire
🚲	vélo	bicyclette|cyclisme|moyen de transport|vélo|voyage
🚳	vélos interdits	bicyclette|interdiction|interdit|vélo|vélos interdits
🚴	cycliste	course|cycliste|guidon|homme|pédaler|personne|rouler|sport|tour de france|vélo
🚵	personne en VTT	coureur|cyclisme|grimper|homme en VTT|montagne|personne|personne en VTT|sport|tour de France|vélo|VTT
🚶	personne qui marche	balade|en route|flâner|homme|marche|marcher|nonchalant|personne|personne qui marche|piéton|promenade|se balader
🚷	interdit aux piétons	interdiction|interdit|interdit aux piétons
🚸	traversée d’enfants	circulation|école|enfants|piétons|traversée d’enfants
🚹	symbole Toilettes hommes	homme|symbole Homme|symbole Toilettes hommes|toilettes|WC
🚺	symbole Toilettes femmes	femme|symbole Femme|symbole Toilettes femmes|toilettes|WC
🚻	panneau Toilettes	panneau Toilettes|toilettes|WC
🚼	symbole Bébé	bébé|espace de change|symbole Bébé
🚽	toilettes	cabinets|toilettes|WC
🚾	WC	toilettes|WC
🚿	douche	douche|eau|pommeau de douche
🛀	personne prenant un bain	baignoire|bain|personne prenant un bain|personne qui prend un bain
🛁	baignoire	baignoire|bain|mousse
🛂	contrôle des passeports	contrôle|contrôle des passeports|passeport
🛃	douane	douane|douanes
🛄	retrait des bagages	aéroport|arrivée|avion|bagages|retrait des bagages|valise|voyage
🛅	consigne	bagages|casier|clé|consigne|valise
🛌	personne au lit	auberge|bonne nuit|coucher|dodo|dormir|fatigué|hôtel|lit|personne au lit|sieste
🛐	lieu de culte	culte|lieu de culte|prier|religion
🛑	stop	octogonal|panneau|signe|stop
🛒	chariot	caddie|chariot|courses|panier|shopping|supermarché
🛕	temple hindou	bouddhisme|hindou|pagode|religion|stupa|temple|temple bouddhiste
🛖	hutte	abri|case|hutte|maison|maisonnette|yourte
🛗	ascenseur	accessibilité|ascenseur|descente|monte-charge|monte-personnes|montée
🛘	éboulement	avalanche|catastrophe|coulée de boue|danger|glissement de terrain|montagne|rochers|tremblement de terre
🛜	sans fil	connexion|haut débit|hotspot|internet|ordinateur|réseau|routeur|sans fil|smartphone|Wi-Fi|wifi|wlan
🛝	toboggan	aire de jeu|glissade|jouer|toboggan
🛞	roue	cercle|pneu|roue|tourner|véhicule|voiture
🛟	bouée de sauvetage	bouée de sauvetage|flotter|sauver|sauveteur|secours|sécurité
🛫	avion au décollage	avion|avion au décollage|décollage|départ|moyen de transport|voyage
🛬	avion à l’atterrissage	arrivée|atterrissage|avion|avion à l’atterrissage|moyen de transport|voyage
🛴	trottinette	trottinette
🛵	scooter	scooter
🛶	canoë	bateau|canoë|rame|ramer
🛷	luge	glisser|luge|neige|traîneau
🛸	soucoupe volante	alien|extraterrestre|ovni|OVNI|soucoupe volante
🛹	planche à roulettes	glisse|longboard|planche à roulettes|roulettes|skate|skateboard
🛺	tuk tuk	rickshaw|taxi|thaï|tricycle|tuk tuk
🛻	pick-up	auto|camion benne|camionnette|pick-up|pickup|plateau|poids lourd|transports|véhicule
🛼	patin à roulettes	derby|patin à roulettes|roller|roulette|roulettes|sport
🟠	disque orange	cercle|disque orange|forme géométrique|géométrie|orange|rond
🟡	disque jaune	cercle|disque jaune|forme géométrique|géométrie|jaune|rond
🟢	disque vert	cercle|disque vert|forme géométrique|géométrie|rond|vert
🟣	disque violet	cercle|disque violet|forme géométrique|géométrie|rond|violet
🟤	disque marron	brun|cercle|disque brun|disque marron|forme géométrique|géométrie|marron|rond
🟥	carré rouge	carré|forme géométrique|géométrie|rouge
🟦	carré bleu	bleu|carré|forme géométrique|géométrie
🟧	carré orange	carré|forme géométrique|géométrie|orange
🟨	carré jaune	carré|forme géométrique|géométrie|jaune
🟩	carré vert	carré|forme géométrique|géométrie|vert
🟪	carré violet	carré|forme géométrique|géométrie|violet
🟫	carré marron	carré|carré brun|forme géométrique|géométrie|marron
🟰	signe égal gras	égal|égalité|mathématiques|réponse|signe égal gras
🤌	bout des doigts joints	agacement|argumentation|bout des doigts joints|doigts|geste|interrogation|main|parler avec les mains|patience|silence !
🤍	cœur blanc	blanc|cœur
🤎	cœur marron	brun|cœur|marron
🤏	pouce et index rapprochés	à deux doigts|petit|petite|petite quantité|petite somme|peu|pouce et index rapprochés|un peu
🤐	visage avec bouche fermeture éclair	bouche|bouche cousue|émoticône|fermeture éclair|motus|se taire|secret|visage|visage avec bouche cousue|visage avec bouche fermeture éclair
🤑	argent dans les yeux et la bouche	argent|argent dans les yeux et la bouche|bouche|dollars|émoticône|yeux
🤒	visage avec thermomètre	indisposé|malade|thermomètre|visage|visage avec thermomètre
🤓	visage de geek	doué|futé|geek|idiot|intelligent|lunettes|personne|premier de la classe|ringard|surdoué|tronche|visage de geek
🤔	visage en pleine réflexion	émoticône|hum|méditer|penser|réfléchir|réflexion|visage|visage en pleine réflexion
🤕	visage avec bandage autour de la tête	aïe|bandage|blessure|bobo|émoticône|pansement|tête|tête avec un bandage|visage|visage avec bandage autour de la tête
🤖	robot	androïde|automate|machine|monstre|robot|visage|visage de robot
🤗	visage qui fait un câlin	câlin|émoticône|gentil|mains|visage|visage qui fait un câlin
🤘	cornes avec les doigts	cornes|cornes avec les doigts|cornes du diable|doigts|main|rock|rock’n roll|yeah
🤙	signe appel téléphonique avec les doigts	appel|main|signe|signe appel téléphonique avec les doigts|téléphone
🤚	dos de main levée	dos de main levée|levée|main
🤛	poing à gauche	fistbump|gauche|main|poing|poing à gauche
🤜	poing à droite	droite|main|poing|poing à droite
🤝	poignée de main	d’accord|main|mains|marché conclu|poignée|poignée de main|présentation|rencontre|serrer la main
🤞	doigts croisés	bonne chance|chance|croisés|doigts|main
🤟	signe je t’aime	amour|geste pour je t’aime|ILY|je t’aime|main|signe je t’aime|trois doigts
🤠	visage avec chapeau de cowboy	chapeau|cowboy|visage|visage avec chapeau de cowboy
🤡	visage de clown	clown|émoticône|maquillage|visage|visage de clown
🤢	visage nauséeux	dégoûtant|écœuré|émoticône|malade|nausée|visage|visage nauséeux|visage vert qui a la nausée|vomir
🤣	se rouler par terre de rire	content|drôle|émoticône|hilare|joyeux|larmes|lol|mdr|pleurer de rire|rire|rire aux larmes|se rouler par terre|se rouler par terre de rire|se tordre de rire|visage|visage qui rit aux larmes
🤤	visage qui bave	baver|délicieux|émoticône|mmh|visage|visage qui bave
🤥	visage de menteur	émoticône|mensonge|menteur|pinocchio|visage|visage de menteur|visage dont le nez s’allonge
🤦	personne avec la paume sur le visage	drame|exaspération|femme avec paume sur visage|geste|incrédulité|incroyable|j’en peux plus|main|pas possible|paume de main|personne|personne avec la paume sur le visage|visage
🤧	visage qui éternue	à tes souhaits|atchoum|émoticône|éternuement|éternuer|fièvre|grippe|malade|mouchoir|rhume|se moucher|visage qui éternue
🤨	visage avec les sourcils relevés	euh|hein|incrédule|méfiant|pas vrai|quoi|sceptique|surprise|tête avec sourcil levé|visage avec les sourcils relevés
🤩	visage avec des étoiles à la place des yeux	étoile|étoiles dans les yeux|grand sourire|heureux|pressé|surexcité|tête avec étoiles|visage|visage avec des étoiles à la place des yeux|wow|yeux
🤪	tête de fou	grand|large|oeil|œil|petit|tête de fou|tête folle|yeux|yeux fous
🤫	visage avec un doigt sur la bouche	chut|pas un bruit|silence|tête qui dit chut|visage avec un doigt sur la bouche
🤬	visage avec des symboles dans la bouche	censuré|colère|gros mots|insulter|insultes|jurer|juron|tête avec des symboles sur la bouche|visage avec des symboles dans la bouche
🤭	visage avec une main sur la bouche	malin|oops|oups|rigole|secret|surprise|visage avec main devant la bouche|visage avec une main sur la bouche
🤮	visage qui vomit	gerbe|gerber|malade|tête qui vomit|visage qui vomit|vomi|vomissure
🤯	tête qui explose	choc|choqué|surpris|surprise|tête choquée|tête qui explose
🤰	femme enceinte	enceinte|femme
🤱	allaitement	allaitement|bébé|maman|nourrice|nourrir le bébé|sein|soins
🤲	paume contre paume doigts vers le haut	espérer|mains|paume contre paume doigts vers le haut|paumes des mains ensemble|prier|prière
🤳	selfie	appareil photo|photo|selfie|téléphone
🤴	prince	couronne|prince|royal|royauté
🤵	personne en smoking	élégant|homme|marié|personne en smoking|personne mariée|smoking
🤶	mère Noël	bonnet|fêtes|mère|Noël|Santa
🤷	personne qui hausse les épaules	aucune idée|c’est comme ça|doute|femme qui hausse les épaules|haussement d’épaules|ignorance|indifférence|je ne sais pas|personne|personne qui hausse les épaules|peut-être|que faire|qui sait
🤸	personne faisant la roue	agilité|athlète|faire la roue|femme faisant la roue|gymnaste|gymnastique|personne|personne faisant la roue|roue|sport
🤹	personne qui jongle	artiste|cirque|gérer|jongler|jongleur|multitâche|personne qui jongle
🤺	escrimeur	épée|escrime|escrimeur|escrimeuse|personne|sport
🤼	personnes faisant de la lutte	bataille|lutte|lutteur|lutteurs|personnes|personnes faisant de la lutte|sport
🤽	personne jouant au water-polo	ballon|homme qui joue au water-polo|personne|personne jouant au water-polo|piscine|sport|water-polo
🤾	personne jouant au handball	athlète|ballon|handball|handballeur|lancer|personne|personne jouant au handball|sport
🤿	masque de plongée	apnée|masque|masque de plongée|masque et tuba|plongée|plonger|snorkeling|tuba
🥀	fleur fanée	fanée|fleur|mort|rose
🥁	batterie	baguette|baguettes|batterie|musique|tambour
🥂	trinquer	alcool|célébrer|champagne|fêter|santé|tchin|trinquer|verre|verres
🥃	verre tumbler	alcool|liqueur|tumbler|verre|whisky
🥄	cuillère	couvert|cuillère|manger
🥅	cage	but|cage|filet|sport
🥇	médaille d’or	1er|médaille|médaille d’or|or|premier
🥈	médaille d’argent	2e|argent|deuxième|médaille|médaille d’argent
🥉	médaille de bronze	3e|bronze|médaille|médaille de bronze|troisième
🥊	gant de boxe	boxe|gant|gant de boxe|sport
🥋	tenue d’arts martiaux	arts martiaux|judo|karaté|kimono|sport|taekwondo|tenue|tenue d’arts martiaux
🥌	pierre de curling	curling|granit|jeu|match|partie|pierre|pierre de curling|sport
🥍	crosse	balle|but|crosse|lacrosse|raquette|sport
🥎	softball	balle|gant|softball|sports
🥏	disque volant	discoplane|disque|disque volant|disque-volant|frisbee|sport|ultimate|ultime-passe
🥐	croissant	croissant|nourriture|pain|petit-déjeuner|viennoiserie
🥑	avocat	avocat|fruit|nourriture
🥒	concombre	concombre|cornichon|légume|nourriture
🥓	lard	bacon|lard|nourriture|porc|viande
🥔	pomme de terre	légume|nourriture|patate|pomme de terre|purée
🥕	carotte	carotte|légume|nourriture
🥖	baguette	baguette|nourriture|pain
🥗	salade verte	nourriture|salade|verte
🥘	plat mitonné	casserole|Espagne|paella|plat|plat mitonné|poêle|riz
🥙	kebab	falafel|kebab|nourriture|pain pita
🥚	œuf	nourriture|œuf
🥛	verre de lait	boisson|lait|verre|verre de lait
🥜	cacahuètes	arachide|cacahuète|cacahuètes|noisette|nourriture
🥝	kiwi	fruit|kiwi|nourriture
🥞	pancakes	crêpe|goûter|nourriture|pancake|pancakes|petit-déjeuner
🥟	boulette de pâte	boulette de pâte|dumpling|empanada|gyoza|jiaozi|pierogi|potsticker|ravioli
🥠	biscuit chinois	biscuit chinois|nourriture|prophétie
🥡	boîte à emporter	baguettes|boîte à emporter|carton|chinois|nourriture à emporter
🥢	baguettes	baguettes|hashi
🥣	bol avec cuillère	bol avec cuillère|bol avec une cuillère|céréales|congee|déjeuner|petit déjeuner|soupe
🥤	gobelet avec paille	boisson|eau|gobelet avec paille|jus de fruit|jus de fruits|soda|verre avec une paille
🥥	noix de coco	coco|fruit|noix de coco|nourriture|palmier|piña colada
🥦	brocoli	broccoli|brocoli|chou|chou sauvage|légume
🥧	tarte	décoration|garniture|gâteau|nourriture|pâte à tarte|pâtisserie|tarte|tarte aux fruits|tourte
🥨	bretzel	bretzel|nourriture|torsade
🥩	morceau de viande	côtelette|côtelette d’agneau|côtelette de porc|morceau de viande|nourriture|steak|viande|viande rouge
🥪	sandwich	nourriture|pain|pain de mie|pique-nique|sandwich
🥫	aliments en conserve	aliments en conserve|boîte de conserve|conserve|nourriture
🥬	légume à feuilles vertes	bok choy|chou|chou chinois|chou frisé|chou pommé|kale|laitue|légume à feuilles vertes|salade
🥭	mangue	fruit|mangue|nourriture|tropical|tropique
🥮	gâteau de lune	automne|festival|gâteau de lune|moon cake|yuèbǐng
🥯	bagel	bagel|boulangerie|petit-déjeuner|sandwich|schmear
🥰	visage souriant avec cœurs	adorer|aimer|amour|béguin|coeur|cœurs|j’adore|Je t’aime|smiley avec 3 coeurs|sourire|visage souriant avec cœurs
🥱	visage bâillant	bâille|bâiller|dormir|émoticône|ennui|fatigant|fatigue|sieste|visage bâillant
🥲	visage souriant avec une larme	ému|fier|heureux|larme|reconnaissant|smiley|soulagé|souriant|touché|visage souriant avec une larme
🥳	visage festif	anniversaire|célébration|chapeau pointu|émoticône|fête|heureux|hourra|joyeux anniversaire|sifflet|visage de fête|visage festif|youpi
🥴	visage éméché	bouche ondulée|bourré|bourrée|dans les vapes|hébété|pas clair|pompette|rond|saoul|souler|tête qui tourne|visage éméché
🥵	visage rouge et chaud	chaleur|chaud|coup de chaleur|coup de chaud|fièvre|sue|suer|toute rouge|transpiration|trop chaud|visage rouge et chaud|visage tout rouge
🥶	visage bleu et froid	bleu|ça caille|froid|gel|gelé|gelure|glacé|glacial|glaçon|visage bleu|visage bleu et froid
🥷	ninja	assassin|combat|furtif|guerrier|masqué|ninja|personne|sabre|secret|soldat
🥸	visage déguisé	déguisement|espion|faux nez|grimer|incognito|lunettes|moustache|postiche|smiley|sourcils ébouriffés|visage déguisé
🥹	visage retenant ses larmes	admiration|ému|fierté|gratitude|larmes de joie|pleurs|retenir ses larmes|triste|visage retenant ses larmes
🥺	visage implorant	embarrassé|excuse|gros yeux|pardon|pitié|s’il te plaît|supplication|supplie|visage implorant|yeux de chiens battus
🥻	sari	inde|mode|robe|sari|traditionnel|vêtement
🥼	blouse blanche	blouse|blouse blanche|docteur|expérience|expérimentation|labo|laboratoire|manteau blanc|médecin|scientifique|vêtements
🥽	lunettes	lunettes|lunettes de chimiste|lunettes de labo|lunettes de piscine|lunettes de protection|lunettes de soudage|lunettes de soudure|masque|natation|protection des yeux|soudage
🥾	chaussure de randonnée	camping|chaussure de marche|chaussure de randonnée|chaussures de chantier|chaussures de montagne|chaussures de sécurité|chaussures marron|marche|rando|randonnée|timberland|vêtements
🥿	chaussure plate	ballerine|chaussure plate|chaussure sans lacets|chaussures plates|mule|vêtements
🦀	crabe	animal|astrologie|Cancer|crabe|horoscope|mer|pinces|plage|zodiaque
🦁	tête de lion	animal|astrologie|crinière|fort|horoscope|lion|roi|rugissement|safari|savane|tête de lion|visage|zodiaque
🦂	scorpion	animal|astrologie|désert|horoscope|scorpion|zodiaque
🦃	dindon	action de grâces|animal|dinde|dindon|oiseau|thanksgiving|volaille
🦄	licorne	animal|licorne|licrone|tête|tête de licorne
🦅	aigle	aigle|animal|oiseau|rapace
🦆	canard	animal|canard|coin-coin|oiseau
🦇	chauve-souris	animal|chauve-souris|vampire
🦈	requin	animal|Dents de la mer|poisson|requin
🦉	chouette	animal|chouette|hibou|oiseau|sage
🦊	renard	animal|nature|renard|tête|visage
🦋	papillon	animal|insecte|mignon|papillon|printemps
🦌	cerf	animal|bois|cerf
🦍	gorille	animal|gorille|primate
🦎	lézard	animal|lézard|reptile
🦏	rhinocéros	animal|corne|rhinocéros
🦐	crevette	aliment|crevette|crustacé|fruits de mer|nourriture
🦑	calamar	aliment|animal|calamar|encornet|mollusque|nourriture
🦒	girafe	animal|cou|girafe|taches
🦓	zèbre	animal|noir et blanc|rayure|rayures|zèbre|zébrure
🦔	hérisson	animal|épines|épineux|hérisson|piquant|porc-épic
🦕	sauropode	animal|brachiosaure|brontosaure|dinosaure|diplodocus|sauropode
🦖	T-Rex	animal|dinosaure|T-Rex|T. rex|tyrannosaure|Tyrannosaurus rex|Tyrannosaurus Rex
🦗	criquet	animal|criquet|insecte|sauterelle
