⌚	orologio	orologio|orologio da polso|tempo
🔄	frecce che ruotano in senso antiorario	antiorario|circolo|di nuovo|frecce|frecce a cerchio aperto|frecce che ruotano in senso antiorario|frecce senso antiorario|ricarica|ricaricare|simbolo
🔅	luminosità bassa	bassa|faretto|faro|luce|luminosità|simbolo luminosità|sole|tenue
🔆	luminosità elevata	alta luminosità|luminosità|luminosità elevata|luminoso|simbolo alta luminosità|sole
🔇	altoparlante disattivato	altoparlante barrato|audio|megafono barrato|musica|muto|no audio|no volume|silenzioso|speaker barrato|suono disattivato|volume|zitto
🔈	altoparlante a volume basso	altoparlante a basso volume|altoparlante a volume basso|altoparlante attivato|audio|basso volume|megafono|speaker|suoneria|suono|suono attivo|volume|volume basso
🔉	altoparlante a volume intermedio	altoparlante a volume intermedio|altoparlante volume basso|audio|basso|megafono|speaker|suono|volume basso|volume intermedio|volume medio
🔊	altoparlante a volume alto	alto|altoparlante a volume alto|audio|megafono|musica|speaker|suono|volume
🔋	batteria	autonomia|batteria|batteria scarica|carica|pila|ricaricare|verde
🔌	spina elettrica	elettrica|elettricista|elettricità|presa elettrica|spina
🔍	lente di ingrandimento rivolta a sinistra	cerca|cercare|investigare|lente|lente d’ingrandimento|lente di ingrandimento rivolta a sinistra|lente ingrandimento|lente ingrandimento verso sinistra|verso sinistra
🔎	lente di ingrandimento rivolta a destra	cercare|investigare|investigatore|lente|lente di ingrandimento rivolta a destra|lente ingrandimento|lente ingrandimento verso destra|ricerca|spia|spiare|trovare
🔏	lucchetto con penna stilo	lucchetto|lucchetto con penna stilo|penna stilografica|privacy|stilo|stilografica
🔐	lucchetto chiuso con chiave	chiave|chiuso a chiave|lucchetto|lucchetto chiuso|lucchetto chiuso a chave|lucchetto chiuso con chiave|segreto|sicurezza|sicuro
🔑	chiave	casa|chiave|lucchetto|password|segreto|sicuro
🔒	lucchetto chiuso	chiuso|chiuso a chiave|lucchetto|segreto|sicurezza
🔓	lucchetto aperto	aperto|chiuso|lucchetto|segreto|sicurezza
🔔	campana	campana|campanella|campanello|chiesa|musica|scuola|stonato|suono
🔕	campana sbarrata	audio|campana|campana sbarrata|divieto|muto|silenzio|suono|volume
🔖	segnalibro	etichetta|leggere|lettura|libro|segnalibro
🔗	collegamento	collegamento|due anelli|link|simbolo link
🔘	pulsante rotondo	campanello|cerchio|geometria|opzione|pulsante|pulsante della radio|pulsante rotondo
🔙	freccia BACK	back|freccia|freccia verso sinistra|indietro|indietro con freccia verso sinistra
🔚	freccia END	end|end con freccia verso sinistra|fine|freccia|freccia a sinistra|freccia verso sinistra
🔛	freccia ON	frecce|freccia|ON|ON con freccia e punto esclamativo|punto esclamativo|simbolo
🔜	freccia SOON	brb|freccia|freccia nera|presto|simbolo|soon|soon con freccia verso destra|tra poco|un attimo
🔝	freccia TOP	alto|freccia in alto|freccia TOP|freccia verso l’alto|simbolo Top|Top|Top con freccia verso l’alto
🔞	simbolo di divieto ai minorenni	18|18 sbarrato|divieto|divieto ai minori|minori|proibito|simbolo di divieto ai minorenni|vietato|vietato ai minori|vietato ai minori di 18|vietato ai minori di anni 18
🔠	pulsante con lettere latine maiuscole	abcd|caratteri latini|inserire|lettere|maiuscole|pulsante|pulsante con lettere latine maiuscole|tasto
🔡	pulsante con lettere latine minuscole	caratteri latini|inserire|lettere|minuscole|pulsante|pulsante con lettere latine minuscole|tasto
🔢	pulsante con numeri	1234|inserire|numeri|pulsante con numeri|tastierino numerico
🔣	pulsante con simboli	inserire|pulsante con simboli|simboli|tastiera|tastierino simboli
🔤	pulsante con lettere latine	ABC|alfabeto|caratteri alfabetici|inglese|inserire|lettere|pulsante|pulsante con lettere latine|tasto
🔥	fuoco	bruciare|caldo|calore|esplosione|falò|fiamma|fiamme|fuoco|inferno|passione
🔦	torcia	elettrica|luce|pila|torcia
🔧	chiave inglese	attrezzo|chiave|diy|fai da te|idraulico|inglese|lavoro|meccanico|utensile
🔨	martello	attrezzo|bricolage|falegname|lavoro|martello|meccanico|muratore|operaio|riparare|riparazioni|utensile
🔩	vite e bullone	attrezzo|bricolage|bullonare|bullone|dado|fai da te|fissare|lavori di casa|lavoro
🔪	coltello da cucina	arma|chef|coltello|coltello da cucina|cucina|fame|posate
🔫	pistola ad acqua	arma|pistola|pistola ad acqua|revolver|sparare
🔬	microscopio	analisi|esperimento|microrganismo|microscopio|ricerca|scienza|scienziata|scienziato|strumento
🔭	telescopio	astronomia|corpi celesti|costellazioni|galileo galilei|osservatorio|osservazione delle stelle|scientifico|scienza|spazio|stelle|telescopio|universo
🔮	sfera di cristallo	chiaroveggenza|chiromanzia|cristallo|futuro|magia|sfera|sfera di cristallo|sfera viola
🔯	stella a sei punte	chiromanzia|futuro|sei punte|stella|stella a sei punte
🔰	ideogramma giapponese di “Principiante”	etichetta gialla e verde principiante|gallone|giallo|ideogramma giapponese di “Principiante”|patente|principiante|simbolo principiante Giappone|verde|zig zag
🔱	tridente	ancora|barca|dio del mare|favola|fiaba|marino|naufragio|nave|oceano|poseidone|simbolo|tridente
🔲	tasto quadrato bianco con bordo nero	geometria|pulsante|pulsante quadrato pieno|quadrato|quadrato nero|simbolo|tasto|tasto quadrato bianco con bordo nero
🔳	tasto quadrato nero con bordo bianco	contorno|geometria|pulsante|pulsante quadrato con contorno|tasto quadrato nero con bordo bianco
🔴	cerchio rosso	cerchio|cerchio rosso grande|geometria|rosso|stop
🔵	cerchio blu	blu|cerchio|geometria|grande
🔶	rombo arancione grande	arancione|forma|geometria|grande|quadrato|rombo
🔷	rombo blu grande	blu|diamante|grande|rombo
🔸	rombo arancione piccolo	arancione|piccolo|rombo
🔹	rombo blu piccolo	blu|piccolo|rombo
🔺	triangolo rosso con punta verso l’alto	alto|forma|geometria|rosso|triangolo|triangolo rosso con punta verso l’alto|triangolo rosso punta in alto
🔻	triangolo rosso con punta verso il basso	basso|geometria|rosso|triangolo|triangolo rosso con punta verso il basso|triangolo rosso punta in basso
🔼	pulsante a triangolo rivolto verso l’alto	alto|in alto|pulsante|pulsante a triangolo rivolto verso l’alto|tasto|triangolo
🔽	pulsante a triangolo rivolto verso il basso	basso|in basso|in giù|pulsante|pulsante a triangolo rivolto verso il basso|tasto|triangolo|triangolo con punta in basso|triangolo in basso
🕋	Kaaba	Arabia Saudita|Islam|islamismo|Islamismo|Kaaba|La Mecca|musulmana|musulmani|musulmano|religione
🕌	moschea	islam|islamismo|Islamismo|moschea|musulmani|musulmano|pregare|preghiera|religione
🕍	sinagoga	ebraismo|Ebraismo|religione|sinagoga|tempio ebraico
🕎	Menorah	candelabro|Ebraismo|Menorah|religione|sette bracci
🕐	ore una	1:00|13:00|ora|ore una|orologio|tempo
🕑	ore due	14:00|2:00|ore due|orologio|tempo
🕒	ore tre	15:00|3:00|ora|ore tre|orologio|tempo
🕓	ore quattro	16:00|4:00|ora|ore quattro|orologio|quattro|tempo
🕔	ore cinque	17:00|5:00|ora|ore cinque|orologio|tempo
🕕	ore sei	18:00|6:00|ora|ore sei|orologio|tempo
🕖	ore sette	19:00|7:00|ora|ore sette|orologio|tempo
🕗	ore otto	20:00|8:00|ore otto|orologio|otto
🕘	ore nove	21:00|9:00|ora|ore nove|orologio|tempo
🕙	ore dieci	10:00|22:00|ora|ore dieci|orologio|tempo
🕚	ore undici	11:00|23:00|ore undici|orologio|undici
🕛	ore dodici	12:00|mezzanotte|mezzogiorno|ora|ore dodici|orologio|tempo
🕜	ore una e mezza	1:30|13:30|ora|ore una e mezza|orologio|tempo
🕝	ore due e mezza	14:30|2:30|due e mezza|ore due e mezza|orologio
🕞	ore tre e mezza	15:00|3:30|ore tre e mezza|orologio|tre e mezza
🕟	ore quattro e mezza	16:30|4:30|ora|ore quattro e mezza|orologio|tempo
🕠	ore cinque e mezza	17:30|5:30|ora|ore cinque e mezza|orologio|tempo
🕡	ore sei e mezza	18:30|6:30|ora|ore sei e mezza|orologio|tempo
🕢	ore sette e mezza	19:30|7:30|ora|ore sette e mezza|orologio|tempo
🕣	ore otto e mezza	20:30|8:30|ora|ore otto e mezza|orologio|otto e mezza|tempo
🕤	ore nove e mezza	21:30|9:30|nove e mezza|ora|ore nove e mezza|orologio
🕥	ore dieci e mezza	10:30|22:30|ora|ore dieci e mezza|orologio|tempo
🕦	ore undici e mezza	11:30|23:30|ora|ore undici e mezza|orologio|tempo
🕧	ore dodici e mezza	12:30|mezzanotte e mezza|mezzogiorno e mezza|ora|ore dodici e mezza|tempo
🕺	uomo che balla	ballare|ballo|disco|discoteca|lavoro|uomo|uomo che balla
🖕	dito medio	dita|dito|dito medio|insulto|mano|offendere|volgare
🖖	saluto vulcaniano	mano|mano aperta|mano di Spock|saluto|saluto vulcaniano|Spock
🖤	cuore nero	crudele|cuore|dolore|nero|tristezza
🗻	Monte Fuji	Fuji|Giappone|montagna|monte|natura|paesaggio
🗼	Torre di Tokyo	architettura|città|Giappone|Tokyo|Tokyo Tower|torre|Torre di Tokyo|torre rossa
🗽	Statua della Libertà	america|libertà|new york|simbolo|statua|Statua della Libertà
🗾	mappa del Giappone	Giappone|mappa|mappa del Giappone|Mappa del Giappone
🗿	Moai	faccia|Isola di Pasqua|Moai|Moyai|pietra|statua|statua dell’Isola di Pasqua|storia|vacanza|viaggiare
😀	faccina con un gran sorriso	allegria|allegro|denti|faccina con un gran sorriso|felice|molto felice|risata|sogghignare|sogghigno|sorriso
😁	faccina raggiante con occhi felici	denti|faccina|faccina che ride|faccina che sogghigna|faccina raggiante con occhi felici|molto felice|occhi felici|risata|sogghignare|sogghigno|sogghigno con occhi felici|sorriso
😂	faccina con lacrime di gioia	ahahaha|che ridere|contentissimo|contento|faccina|faccina che piange dal ridere|felice|felicissimo|felicità|gioia|lacrima|lacrime di gioia|lol|piangere dal ridere|ridere|risata|rofl
😃	faccina con sorriso e occhi spalancati	bocca aperta|che bello|contento|denti|evvai|faccina con un gran sorriso e occhi spalancati|felice|felicità|ottimo|ridere|risata|sorridente|sorridere|sorriso a bocca aperta|urrà
😄	faccina con sorriso e occhi sorridenti	a crepapelle|bene|bocca aperta|faccina che ride|faccina con un gran sorriso e occhi sorridenti|faccina felice|felicità|occhi felici|ridere|risata|sorriso|sorriso a bocca aperta
😅	faccina con sorriso e goccia di sudore	emozionato|faccina con un gran sorriso e goccia di sudore|felice|goccia|nervoso|sollevato|sollievo|sorriso con goccia di sudore|stressato|sudore|teso
😆	sorriso a bocca aperta con occhi chiusi	ahahah|bocca aperta|faccina felice|faccina sorridente|felicissimo|lol|occhi chiusi|ridere|risata|sorridente|sorriso a bocca aperta con occhi chiusi
😇	faccina con sorriso e aureola	angelo|angioletto|aureola|faccina sorridente con aureola|innocente|santarellino|santo|sorriso con aureola|spirito
😈	faccina con sorriso e corna	arrabbiato|corna|diavolo|faccina|faccina con sorriso e corna|faccina viola|sorriso|sorriso con corna
😉	faccina che fa l’occhiolino	capirsi|faccina|faccina che fa l’occhiolino|fare l’occhiolino|flirtare|intesa|occhio|occhiolino|sexy|strizzare l’occhio
😊	faccina con occhi sorridenti	arrossire|bocca|faccina|faccina con occhi sorridenti|felice|felicità|imbarazzato|occhi|occhi sorridenti|sorriso|timido
😋	faccina che si lecca i baffi	buonissimo|buono|che buono|cibo delizioso|faccina che si lecca i baffi|gnam|golosa|goloso|leccarsi i baffi|slurp
😌	faccina sollevata	faccina|faccina con sorriso|pace|sollevato|sollievo|tranquillità|tranquillo|zen
😍	faccina con sorriso e occhi a cuore	amore|cuore|faccina|faccina con sorriso e occhi a cuore|innamorato|occhi|occhi a cuore|romantico|sorriso|sorriso con occhi a cuore
😎	faccina con sorriso e occhiali da sole	cool|fighetto|figo|ganzo|luce|relax|soleggiato|spensierato|vacanza
😏	faccina con sorrisetto	ammiccante|bocca|faccia|faccina con sorrisetto|flirtare|furbetto|malizioso|mmm|non ci credo|occhiolino|sopracciglia|sorrisetto|sospetto|sospettoso
😐	faccina neutra	ah|imbarazzato|imbarazzo|impassibile|mmm|neutro|no comment|non fa ridere|non rido|oh|senza espressione|senza parole|uh
😑	faccina inespressiva	brutto|cattivo|come no|faccina|inespressiva|male|neutro|niente commenti|no comment|strano
😒	faccina contrariata	che barba|contrariato|deluso|faccina|indifferente|infelice|triste|uff|uffa|ugh|wtf
😓	faccina abbattuta sudata	ci è mancato poco|delusione|faccina|faccina abbattuta sudata|faccina sudata|goccia|malato|sudore|triste
😔	faccina pensierosa	mai una gioia|male|mi dispiace|morire|no|peccato|pensieroso|perdere|persa|purtroppo|scoraggiato|triste
😕	faccina confusa	confuso|deluso|faccina|forse|non so|peccato|triste|uffa
😖	faccina frustrata	arrabbiato|concentrato|confuso|doh|faccia|faccina|frustrato|scontento|stressato|triste|uffa
😗	faccina che bacia	appuntamento|bacio|bocca|buona notte|faccina che manda bacio|flirt|sbaciucchiare
😘	faccina che manda un bacio	amore|bacetti|bacini|buona notte|cuore|faccina che manda baci|innamorato|mandare baci|mi manchi|smack|ti amo|ti voglio bene
😙	faccina che bacia con occhi sorridenti	appuntamento|bacetti|buona notte|faccina che manda baci|occhi chiusi|occhi sorridenti|sorriso
😚	faccina che bacia con occhi chiusi	amore|bacetti|bacio a occhi chiusi|buona notte|faccina|faccina che bacia con occhi chiusi|occhi chiusi|ti amo|ti voglio bene|tvb
😛	faccina che mostra la lingua	bello|faccina|faccina che fa la linguaccia|faccina che mostra la lingua|faccina con lingua fuori|fantastico|lingua|lingua fuori|linguaccia
😜	faccina che fa l’occhiolino e mostra la lingua	barzelletta|divertente|faccina che fa l’occhiolino e mostra la lingua|lingua fuori con occhiolino|linguaccia con occhiolino|occhiolino|pazzerello|pazzo|scherzo|sto scherzando|strano|yolo
😝	faccina che strizza gli occhi e mostra la lingua	bleah|faccina|faccina che strizza gli occhi e mostra la lingua|faccina con un gran sorriso che mostra la lingua|lingua|linguaccia|linguaccia con occhi chiusi|non mi piace|occhi chiusi|orribile|terribile
😞	faccina delusa	abbandonare|delusione|disilluso|emozione|faccina|fallimento|fallire|fallito|ho perso|infelice|male|no|perdere|sospiro|triste|uffa
😟	faccina preoccupata	ansioso|faccina|nodo allo stomaco|preoccupato|preoccupazione|triste
😠	faccina arrabbiata	arrabbiato|che odio|faccina|frustrato|furia|infuriato|non mi piace|odio|rabbia
😡	faccina accigliata	arrabbiato|broncio|faccina|faccina accigliata|faccina rossa|furioso|imbronciato|male|muso|odio
😢	faccina che piange	emozione|faccina|faccina che piange|faccina con lacrima|infelice|lacrima|mi dispiace|mi manchi|piangere|triste
😣	faccina perseverante	concentrato|faccina|faccina che pensa|faccina concentrata|pensare|perseverante
😤	faccina che sbuffa	arrabbiarsi|arrabbiato|faccina arrabbiata|faccina che sbuffa|faccina con il fumo|faccina frustrata|frustrato|frustrazione|rabbia|sbuffare|scontento|uffa
😥	faccina delusa ma sollevata	ansioso|deluso|deluso ma sollevato|faccina|faccina delusa ma sollevata|goccia|infelice|lacrima|sollevato|sudore|triste
😦	faccina imbronciata con bocca aperta	bocca aperta|corrucciata|faccina imbronciata con bocca aperta|male|no|noo|paura|sorpresa|wow
😧	faccina angosciata	angoscia|angosciato|ansia|ansioso|faccina|infelice|paura|sofferente|stressato|triste
😨	faccina impaurita	ansia|ansioso|esami|faccina|fifa|fifa blu|impaurito|paura|preoccupato|spaventato|spavento
😩	faccina esausta	arrabbiato|disperato|esausto|faccina|faccina che piange|nooo|piangere|sfinito|stanco
😪	faccina assonnata	assonnato|dormire|faccina|faccina assonnata|goccia|sonno|stanco|zzz
😫	faccina stanca	disperato|faccina|stanco|triste
😬	faccina con smorfia	denti|dentista|digrignare|digrignare i denti|faccina|faccina con smorfia|smorfia
😭	faccina disperata	faccina che piange|faccina disperata|infelice|lacrime|no|nooo|piangere|pianto|singhiozzare|triste
😮	faccina con bocca aperta	bocca|bocca aperta|non ci credo|non mi dire|oh|scioccato|shock|sorpresa|sorpreso|stupito|wow
😮‍💨	faccina che espira	ansimare|esausto|espirare|faccina che espira|fischiare|fumo|soffio|sollievo|sospiro|stanco|sussurrare|tosse
😯	faccina sorpresa	faccina|incredulo|omg|sbalordito|sorpresa|sorpreso|wow
😰	faccina sudata in ansia	ansia|blu|esami|faccina spaventata|freddo|nervoso|paura|risultato|spaventato|sudato|sudore|terrore
😱	faccina terrorizzata	blu|faccina|grido di paura|munch|oddio|paura|terrore|terrorizzata|urlare|urlo di munch
😲	faccina stupita	cosa?|davvero|faccina|non ci credo|oddio|omg|scioccato|sorpresa|sorpreso|stupito
😳	faccina imbarazzata	confuso|faccina|faccina arrossata|faccina con guance rosse|faccina con occhi aperti|guance rosse|imbarazzato|occhi
😴	faccina che dorme	assonnato|buona notte|dormire|faccina|faccina che dorme|pisolino|sonno|stanco|zzz
😵	faccina frastornata	crocetta|crocette|emozione|faccina|frastornato|malato|occhi|occhi a croce|stanco|testa che gira
😵‍💫	faccina con occhi a spirale	capogiro|confuso|faccina|faccina con occhi a spirale|giramento di testa|ipnotizzato|nausea|problema|stordito|vertigini
😶	faccina senza bocca	faccina|faccina senza bocca|muto|non parlo|non posso parlare|segreto|senza bocca|senza espressione|senza parole|silenzio|zitto
😷	faccina con mascherina	dentista|dottore|faccina con mascherina|germi|infermiera|infermiere|malato|mascherina|medicina|raffreddato|raffreddore|smog
😸	gatto che sogghigna	faccina|gatto|occhi|sorridente|sorriso
😹	gatto con lacrime di gioia	faccina|gatto|gioia|lacrime di gioia|risata|sorriso
😺	gatto che sorride	aperta|bocca|faccina|faccina del gatto|gatto|gatto che sorride|sorridente
😻	gatto innamorato	amore|cuore|faccina|gatto|occhi a cuore|sorriso
😼	gatto con sorriso sarcastico	faccina|faccina del gatto|gatto|gatto con sorriso sarcastico|gatto sorriso ironico|gatto sorriso sarcastico|ironico|sarcastico|sorriso ironico
😽	gatto che manda baci	baci|faccina|gatto|occhi chiusi
😾	gatto imbronciato	arrabbiato|broncio|faccina|gatto|gatto imbronciato|infelice|muso
😿	gatto che piange	faccina|gatto|lacrima|pianto|triste
🙀	gatto esterrefatto	esterrefatto|faccina|gatto|impossibile|incredibile|non ci credo|oh mio Dio|OMG|sorpreso|wow
🙁	faccina leggermente imbronciata	corrucciato|faccina|faccina leggermente imbronciata|imbronciato|mettere il muso|mi dispiace|triste|un po’ imbronciato
🙂	faccina con sorriso accennato	contento|faccina|faccina che sorride|faccina con sorriso accennato|felice|mezzo sorriso|ok|sorrisetto|sorriso|sorriso a bocca chiusa|sorriso accennato|va bene
🙃	faccina sottosopra	ah ah|ah ah ah|ahah|ahahah|arrabbiato|capovolto|faccina|sarcastico|scombussolata|sottosopra|triste
🙄	faccina con occhi al cielo	evabbé|faccina con occhi al cielo|guardare altrove|noia|occhi al cielo|pazienza|roteare gli occhi|ruotare gli occhi|sollevare gli occhi al cielo|uffa|vabbè
🙅	persona che fa segno di no	donna|escluso|faccina|gesto|gesto di rifiuto|no|non bene|persona|persona che fa segno di no|rifiuto|stop|vietato
🙆	persona con gesto OK	donna|donna con braccia alzate|esercizio|fitness|gesto|mani|OK|persona|persona con gesto OK|tutto bene|yoga
🙇	persona che fa un inchino profondo	chiedere perdono|gesto|grazie|inchino|meditare|mi dispiace|perdono|persona|persona che fa un inchino profondo|pietà|scusarsi
🙈	non vedo	faccina|faccina della scimmietta|gesto|non guardo|non posso guardare|non vedo|proibito|scimmia|scimmietta|scimmietta non vedo|segreto|vietato
🙉	non sento	animale|animali|faccina|non sentire|non sento|orecchie da mercante|scimmia|scimmietta|scimmietta non sento|segreto|vietato
🙊	non parlo	animale|animali|faccina|in silenzio|monello|non parlo|proibito|scimmia|scimmietta non parlo|segreto|vietato
🙋	persona con mano alzata	ciao|donna|eccomi|felice|gesto|mano alzata|persona|persona con mano alzata|salutare|saluto|sono qui
🙌	mani alzate	celebrare|due mani|evvai|evviva|gesto|grazie|innocente|mani alzate|mano|urrà|vittoria
🙍	persona corrucciata	arrabbiata|corrucciata|delusa|donna|faccia|frustrata|gesto|infelice|persona|triste
🙎	persona imbronciata	arrabbiata|broncio|delusa|donna|gesto|imbronciata|persona|seccata|sguardo arrabbiato
🙏	mani giunte	gesto|grazie|mani|mani giunte|mano|per favore|pregare|preghiera|ti prego
🚀	razzo	astronauta|astronave|razzo|spazio|trasporti|universo|veicolo|viaggiare|viaggio
🚁	elicottero	elicottero|trasporti|veicolo|velivolo|viaggiare|volare
🚂	locomotiva	ferrovia|locomotiva|locomotiva a vapore|motore|treno|vapore|veicolo|viaggiare
🚃	vagone	elettrico|ferrovia|tram|trasporto|treno|vagone|veicolo|viaggiare
🚄	treno alta velocità	alta velocità|ferrovia|freccia|tav|trasporto|treno|treno alta velocità|veicolo|veloce|viaggiare
🚅	treno alta velocità punta arrotondata	alta velocità|ferrovia|mezzo|punta arrotondata|trasporti|trasporto|treno|treno alta velocità|treno alta velocità punta arrotondata|veicolo|veloce|viaggiare
🚆	treno	arrivo|binari|ferrovia|freccia|mezzo|trasporto|treno|veloce
🚇	metropolitana	metro|metropolitana|mezzo|trasporti|trasporto|veicolo|viaggiare
🚈	metrotranvia	arrivare|ferrovia|metrotranvia|mezzo|monorotaia|tram|trasporti|trasporto|treno|veicolo|viaggiare
🚉	stazione	arrivo|fermata|ferrovia|ritardo|stazione|trasporto|treno|veicolo|viaggiare
🚊	tram	arrivo|ferrovia|freccia|partire|pendolare|tram|trasporto|treno|veicolo|veloce|velocità|viaggiare
🚋	vagone del tram	filobus|mezzo|tram|trasporti|trasporto|vagone|vagone del tram|veicolo
🚌	bus	autobus|bus|mezzo|scuola|scuolabus|trasporti|trasporto|veicolo
🚍	bus in arrivo	autobus|bus|bus in arrivo|in arrivo|mezzo|scuolabus|trasporti|trasporto|veicolo|viaggiare
🚎	filobus	autobus|bus|città|filobus|mezzo|tram|trasporti pubblici|veicolo|viaggiare
🚏	fermata dell’autobus	autobus|fermata|fermata dell’autobus|pendolare|stop|viaggiare
🚐	pulmino	bus|fiorino|guidare|minibus|pullmino|pulmino|veicolo|viaggiare
🚑	ambulanza	ambulanza|croce rossa|emergenza|incidente|mezzo|ospedale|trasporto|veicolo
🚒	camion dei pompieri	autopompa|camion dei pompieri|emergenza|incendio|mezzo|pompieri|veicolo|vigili del fuoco
🚓	macchina della polizia	auto|carabinieri|gazzella|macchina|macchina della polizia|polizia|veicolo
🚔	macchina della polizia in arrivo	auto della polizia|automobile|gazzella|macchina della polizia|mezzo|polizia|trasporti|trasporto|veicolo|volante
🚕	taxi	auto|guidare|mezzo|tassì|taxi|taxi giallo|trasporto|veicolo
🚖	taxi in arrivo	mezzo|tassì|taxi|taxi giallo|taxi in arrivo|trasporti|trasporto|veicolo
🚗	auto	auto|automobile|guidare|macchina|mezzo|trasporti|veicolo|viaggiare
🚘	auto in arrivo	auto|auto in arrivo|automobile|automobile in arrivo|guidare|in arrivo|mezzo|trasporti|trasporto|veicolo
🚙	SUV	auto|automobile|guidare|macchina|SUV|trasporti|utilitaria|veicolo|viaggiare
🚚	camion	camion|consegna|in viaggio|mezzo|trasporti|trasporto|veicolo
🚛	autoarticolato	autoarticolato|camion|guidare|rimorchio|spedizione|trasporto|veicolo|viaggiare
🚜	trattore	agricolo|campagna|fattoria|guidare|lavoro|mezzo|trattore|veicolo
🚝	monorotaia	mezzo|monorotaia|trasporti|trasporto|veicolo|veloce|viaggiare
🚞	ferrovia di montagna	ferrovia|ferrovia di montagna|montagna|trasporti|treno|treno di montagna|veicolo|viaggiare
🚟	ferrovia sospesa	ferrovia sospesa|funivia|mezzo|trasporti|trasporto|veicolo
🚠	funivia	cabina|funicolare|funivia|montagna|sci|ski lift|trasporti|trasporto|veicolo
🚡	funivia aerea	aerea|funicolare|funivia|montagna|sci|sciare|tram|trasporto
🚢	nave	barca|crociera|imbarcazione|mare|nave|titanic|trasporti|trasporto|veicolo|viaggiare
🚣	persona in barca a remi	barca|barca a remi|canoa|fiume|lago|persona|persona che rema|persona in barca a remi|pesca|remare|remi|sport
🚤	motoscafo	barca|lago|lusso|mare|mezzo|milionario|motoscafo|vacanza|vacanze|veicolo|veloce
🚥	semaforo orizzontale	orizzontale|semaforo|traffico
🚦	semaforo verticale	incrocio|luce|segnale|semaforo|stop|traffico|verticale
🚧	area cantiere	area cantiere|costruzione|giallo e nero|simbolo|simbolo area cantiere
🚨	lampeggiante	carabinieri|emergenza|lampeggiante|luce|rosso|sirena|sirena dei carabinieri|sirena della polizia
🚩	bandierina rossa	bandiera|bandiera rossa|bandiera rossa triangolare|bandierina|bandierina rossa|bandierina rossa triangolare|golf
🚪	porta	aprire|armadio|chiudere|entrare|porta|portoncino|uscire
🚫	segnale di divieto	divieto|proibito|segnale di divieto|simbolo|simbolo di divieto|vietato|vietato fumare|vietato l’accesso
🚬	sigaretta	area fumatori|fumare|fumo|sigaretta|simbolo
🚭	segnale di vietato fumare	divieto|fumare|fumo|proibito|segnale|segnale di vietato fumare|sigarette|simbolo|vietato
🚮	simbolo per la raccolta dei rifiuti	buttare|cestino dei rifiuti|pattumiera|raccolta rifiuti|riciclare|rifiuti|simbolo|simbolo per la raccolta dei rifiuti|simbolo raccolta rifiuti
🚯	simbolo del divieto di gettare rifiuti	buttare|divieto|proibito|simbolo|simbolo del divieto di gettare rifiuti|simbolo vietato gettare rifiuti|vietato gettare rifiuti
🚰	acqua potabile	acqua|bere|goccia|potabile|rubinetto|simbolo
🚱	simbolo di acqua non potabile	acqua|acqua non potabile|divieto|non potabile|rubinetto|simbolo|simbolo acqua non potabile|simbolo di acqua non potabile|vietato
🚲	bicicletta	bici|bicicletta|due ruote|gita|mezzo|pedalare|spinning|sport|trasporti|trasporto|veicolo
🚳	segnale di divieto di transito delle biciclette	bici|bicicletta|divieto bicicletta|divieto biciclette|divieto di transito|divieto transito biciclette|proibito|segnale|segnale di divieto di transito delle biciclette
🚴	ciclista	bici|bicicletta|ciclismo|ciclista|due ruote|gara|mountain bike|pedalare|sport|trasporto
🚵	ciclista di mountain bike	atleta|bicicletta|ciclismo|ciclismo in montagna|ciclista|ciclista di mountain bike|montagna|mountain bike|pedalare|sport
🚶	pedone	attività|camminare|camminata|giro a piedi|passeggiare|passeggiare lentamente|passeggiata|passo tranquillo|pedone|persona
🚷	simbolo del divieto di transito pedoni	divieto transito pedoni|niente pedoni|no|no pedoni|proibito|segnale|simbolo|simbolo del divieto di transito pedoni|strada|vietato
🚸	attraversamento bambini	attraversamento|attraversamento pedonale|attraversare|bambini|pedoni|scuola|segnale|simbolo|strada|traffico
🚹	simbolo del bagno degli uomini	bagno|segnale|simbolo|simbolo del bagno degli uomini|toilette|Uomini|uomo
🚺	simbolo del bagno delle donne	bagno donne|Donne|segnale|servizi|simbolo|simbolo bagno donne|simbolo del bagno delle donne|toilette
🚻	simbolo dei servizi igienici	bagni|bagno|cartello|figure|omini|pulsante|servizi|simbolo|simbolo dei servizi igienici|tasto|toilette|wc
🚼	simbolo con immagine di bambino	bambino a bordo|cartello neonato|fasciatoio|neonato|simbolo con immagine di bambino|simbolo neonato
🚽	toilette	bagno|toilette|trono|water
🚾	simbolo del WC	bagni|bagno|gabinetto|segnale|servizi|simbolo del WC|toilette|WC
🚿	doccia	aqua|doccia|fare la doccia|lavare|lavarsi
🛀	persona che fa il bagno	bagno|doccia|fare il bagno|lavarsi|persona che fa il bagno|relax|vasca da bagno
🛁	vasca	bagno|doccia|lavare|lavarsi|relax|vasca|vasca da bagno
🛂	simbolo del controllo passaporti	aeroporto|controllo|dogana|immigrazione|passaporti|passaporto|segnale|simbolo del controllo passaporti
🛃	simbolo della dogana	confine di Stato|controllo doganale|dogana|doganiere|frontiera|polizia|polizia di frontiera|simbolo della dogana|viaggiare
🛄	simbolo del ritiro bagagli	aereo|aeroporto|arrivare|bagagli|check in|gita|partire|pronti|ritiro|simbolo del ritiro bagagli|valigie|viaggio
